['и', 1232]
['не', 632]
['что', 564]
['в', 557]
['он', 491]
['она', 370]
['на', 362]
['с', 355]
['я', 326]
['как', 266]
['но', 260]
['его', 235]
['ее', 221]
['это', 207]
['к', 183]
['а', 161]
['все', 155]
['ты', 154]
['сказал', 153]
['же', 139]
['левин', 131]
['так', 127]
['было', 124]
['то', 120]
['о', 120]
['кити', 118]
['степан', 113]
['аркадьич', 113]
['ему', 111]
['да', 100]
['за', 89]
['из', 85]
['только', 82]
['сказала', 80]
['была', 78]
['у', 77]
['от', 77]
['нет', 76]
['бы', 76]
['когда', 76]
['мне', 74]
['по', 74]
['быть', 73]
['для', 70]
['был', 68]
['вы', 68]
['ну', 65]
['очень', 64]
['долли', 64]
['есть', 62]
['вронский', 62]
['анна', 59]
['меня', 58]
['они', 56]
['ей', 56]
['теперь', 55]
['еще', 52]
['ничего', 51]
['если', 50]
['себе', 47]
['знаю', 47]
['левина', 47]
['может', 46]
['ли', 46]
['уже', 45]
['чтобы', 44]
['всегда', 44]
['руку', 44]
['мог', 43]
['нее', 43]
['того', 42]
['ни', 42]
['вот', 42]
['чем', 41]
['него', 41]
['этого', 40]
['ним', 39]
['лицо', 39]
['опять', 38]
['говорил', 38]
['до', 38]
['тебя', 38]
['их', 37]
['ней', 37]
['что-то', 37]
['хорошо', 37]
['себя', 37]
['мы', 37]
['время', 36]
['том', 36]
['или', 36]
['ах', 35]
['облонский', 34]
['тотчас', 34]
['будет', 33]
['тут', 32]
['вас', 32]
['были', 31]
['между', 30]
['после', 30]
['глаза', 30]
['надо', 30]
['тем', 30]
['вдруг', 29]
['потому', 29]
['тебе', 29]
['со', 28]
['эти', 28]
['говорить', 28]
['более', 27]
['где', 27]
['будто', 27]
['графиня', 27]
['делать', 26]
['отвечал', 26]
['вместе', 26]
['княгиня', 26]
['во', 25]
['этом', 25]
['который', 25]
['мать', 25]
['раз', 25]
['улыбкой', 24]
['уж', 24]
['ведь', 23]
['этот', 23]
['нельзя', 23]
['спросил', 23]
['сказать', 23]
['говорила', 23]
['могу', 23]
['приехал', 23]
['даже', 22]
['при', 22]
['одно', 22]
['два', 22]
['сделать', 22]
['матери', 22]
['больше', 22]
['там', 21]
['улыбаясь', 21]
['всего', 21]
['слова', 21]
['видеть', 21]
['никогда', 21]
['хотел', 21]
['глазами', 21]
['нему', 21]
['сейчас', 21]
['левину', 21]
['понимаю', 21]
['весело', 20]
['человек', 20]
['своего', 20]
['ужасно', 20]
['матвей', 20]
['голову', 20]
['несколько', 20]
['могла', 20]
