['буго', 300]
['махiмудил', 237]
['ва', 210]
['гьеб', 203]
['махiмуд', 200]
['гьесул', 167]
['букiана', 142]
['гьев', 132]
['махiмудица', 120]
['амма', 118]
['цо', 118]
['гьес', 113]
['чи', 110]
['руго', 105]
['кечi', 95]
['дир', 92]
['гьел', 89]
['жиндирго', 87]
['вукiана', 84]
['рокьул', 81]
['вуго', 76]
['кучiдул', 74]
['мехалъ', 73]
['гьечiо', 72]
['бугеб', 71]
['рокьи', 69]
['гiадин', 67]
['жо', 62]
['дун', 62]
['дида', 60]
['рукiана', 59]
['гьелъул', 59]
['ккола', 57]
['данде', 56]
['гьабулеб', 56]
['цадахъ', 56]
['абун', 55]
['гьабизе', 55]
['ян', 53]
['цiакъ', 53]
['дица', 51]
['хiакъалъулъ', 50]
['муи', 50]
['гьабуна', 50]
['гьей', 50]
['гьесда', 49]
['мун', 49]
['щиб', 49]
['хадуб', 48]
['гьабун', 48]
['кiудияб', 47]
['абураб', 46]
['цiар', 45]
['гьезул', 44]
['тiад', 44]
['букiинчiо', 43]
['махiмудги', 43]
['я', 43]
['гьаб', 42]
['ана', 42]
['махiмудида', 40]
['муил', 40]
['гьелда', 40]
['ккун', 40]
['ун', 40]
['кочiол', 40]
['цебе', 38]
['ккараб', 38]
['шагiир', 38]
['кiиго', 37]
['гiемерал', 36]
['магiарул', 36]
['гьелъие', 36]
['киналго', 36]
['ругел', 35]
['росулъ', 35]
['дур', 35]
['гьечiеб', 35]
['рагiи', 34]
['нахъе', 34]
['абуна', 34]
['хъахiабросулъа', 33]
['бегьула', 33]
['бакiалда', 33]
['доб', 33]
['гьунар', 33]
['гiемер', 32]
['ракi', 32]
['живго', 32]
['дие', 32]
['букiун', 31]
['гiумру', 30]
['кiудияв', 30]
['жиндир', 30]
['шагiирасул', 30]
['кьун', 30]
['гьесие', 30]
['поэт', 29]
['тiаде', 29]
['букiараб', 29]
['абуни', 29]
['гурони', 29]
['рагiаби', 29]
['асарал', 28]
['ракiалде', 28]
['рекiел', 28]
['босун', 28]
['цохiо', 28]
['гьелъ', 28]
['гьоркьоб', 28]
['къимат', 27]
['йикiана', 27]
['хабар', 27]
['щай', 27]
['дагъистаналъул', 26]
['хъвана', 26]
['гiадамал', 26]
['росдал', 26]
['нухалъ', 26]
['вас', 26]
['кинабго', 26]
['хутiана', 26]
['эбел', 26]
['гьедин', 25]
['жеги', 25]
['гьаризе', 25]
['бакi', 25]
['лъун', 25]
['вукiарав', 25]
['чанго', 25]
['махiмудие', 25]
['кин', 25]
['дунги', 25]
['гьанже', 24]
['нилъеда', 23]
['тун', 23]
['гьениб', 23]
['росу', 23]
['хъварал', 23]
['хъвалеб', 23]
['кидаго', 23]
['гуро', 23]
['соналъ', 23]
['кигiан', 23]
['араб', 23]
['абизе', 22]
['букiине', 22]
['жидерго', 22]
['рукiун', 22]
['гьез', 22]
['нилъер', 22]
['лъугьана', 22]
['гуреб', 22]
['яс', 22]
['бицана', 22]
['ккана', 22]
['вукiун', 22]
['хъвараб', 22]
['дуца', 22]
['щун', 21]
['гьабураб', 21]
['халкъалда', 21]
['хъван', 21]
['рукiарал', 21]
['гiумруялъул', 21]
['лъалеб', 21]
['бугин', 21]
['хiал', 21]
['вукiинчiо', 21]
['йиго', 21]
['рес', 21]
['дуда', 21]
['чiужу', 21]
['гiадаб', 20]
['гьабула', 20]
['дунял', 20]
['жаваб', 20]
['яги', 20]
['с', 19]
['абулеб', 19]
['лъала', 19]
['сон', 19]
['муиги', 19]
['ине', 19]
['вугев', 19]
['рекъон', 19]
['дуе', 19]
['цоги', 19]
['лъугьун', 18]
['заманалда', 18]
['кумек', 18]
['мухiамад', 18]
['кучiдузул', 18]
['бекьилъа', 18]
['гiемераб', 18]
['щибаб', 18]
['лъикiаб', 18]
['къо', 18]
['шагiирас', 18]
['бокьун', 18]
['цо-цо', 18]
['жаниб', 17]
['нух', 17]
['гьезда', 17]
['батiияб', 17]
['хiисабалда', 17]
['гьечiого', 17]
['гьудул', 17]
['гiадан', 17]
['пикру', 17]
['гьал', 17]
['къоялъ', 17]
['гьарурал', 16]
['цогидал', 16]
['бан', 16]
['абула', 16]
['ниж', 16]
['чiун', 16]
['цинги', 16]
['гьале', 16]
['гьарун', 16]
['рабигiат', 16]
['эбелалъ', 16]
['кечiги', 16]
['хадув', 16]
['бищунго', 15]
['тiадегiанаб', 15]
['хъахiабросулъе', 15]
['бицунеб', 15]
['цiакъго', 15]
['букiин', 15]
['гьелдаса', 15]
['поэтасул', 15]
['заман', 15]
['босараб', 15]
['заманаялъ', 15]
['нажмудиница', 15]
['гiищкъул', 15]
['бахъун', 15]
['цеве', 15]
['кiочон', 15]
['рос', 15]
['бугев', 15]
['хун', 14]
['кучiдулги', 14]
['бугилан', 14]
['цiияб', 14]
['жив', 14]
['лъалаан', 14]
['заманаялда', 14]
['хъахiабросулъ', 14]
['магiарулазул', 14]
['гьадин', 14]
['жакъа', 14]
['чагiи', 14]
['росулъе', 14]
['махщел', 14]
['чiана', 14]
['йокьулей', 14]
['щвараб', 14]
['гiараб', 14]
['гiадамазул', 14]
['унсоколо', 14]
['гiумруялъ', 14]
['тiаса', 14]
['лъалел', 14]
['гьечiел', 14]
['гiамал', 14]
['ахiизе', 14]
['хiалтiи', 13]
['кiодо', 13]
['росулъа', 13]
['берцинаб', 13]
['соназда', 13]
['соналда', 13]
['кьолеб', 13]
['гiадал', 13]
['магiарулазда', 13]
['гiоло', 13]
['кколеб', 13]
['тана', 13]
['дов', 13]
['жанир', 13]
['гьитiинаб', 13]
['гьенир', 13]
['магiна', 13]
['гiайиб', 13]
['ракьалда', 13]
['къабул', 13]
['лъикi', 13]
['ахiун', 13]
['нажмудин', 13]
['авар', 12]
['цiарги', 12]
['тiоцебе', 12]
['бицуна', 12]
['гiадамаз', 12]
['гьоркьор', 12]
['лъай', 12]
['мацi', 12]
['рахъалъ', 12]
['щвезе', 12]
['кьезе', 12]
['нижер', 12]
['цiализе', 12]
['гьаракь', 12]
['тiун', 12]
['жамилат', 12]
['букiаниги', 12]
['ракiалда', 12]
['лъалев', 12]
['жиндиего', 12]
['хвел', 12]
['керен', 12]
['тiехьалда', 11]
['тiолабго', 11]
['уна', 11]
['чiван', 11]
['халкъалъе', 11]
['тiегь', 11]
['гьединаб', 11]
['чияс', 11]
['лъазе', 11]
['ругин', 11]
['кинаб', 11]
['сверухъ', 11]
['бугел', 11]
['бицине', 11]
['щибго', 11]
['хутiун', 11]
['щвана', 11]
['дагъистан', 11]
['дой', 11]
['аваразул', 11]
['цере', 11]
['унеб', 11]
['ккани', 11]
['ахiулеб', 11]
['ячун', 11]
['букiунеб', 11]
['жинцаго', 11]
['жиб', 11]
['иш', 11]
['рокьиги', 11]
['батiиял', 11]
['гьудулзаби', 11]
['цiураб', 11]
['кьураб', 11]
['машгьурав', 10]
['унел', 10]
['поэзия', 10]
['талихi', 10]
['кучiдузулъ', 10]
['хадур', 10]
['бекьдерил', 10]
['аслияб', 10]
['рагъул', 10]
['тiоцебесеб', 10]
['къватiире', 10]
['кьуна', 10]
['гьунарги', 10]
['лъураб', 10]
['гiадамазда', 10]
['ахiулев', 10]
['бекьилъе', 10]
['гьикъана', 10]
['махiмудилги', 10]
['алжан', 10]
['эмен', 10]
['гьаниб', 10]
['сурат', 10]
['гьайбатаб', 10]
['цоял', 10]
['нилъ', 10]
['йикiарай', 10]
['гiодов', 10]
['чiезе', 10]
['йокьулейги', 10]
['лъимер', 10]
['гьебги', 10]
['хiакъикъат', 10]
['калам', 10]
['берал', 10]
['бакiалде', 10]
['мунагьал', 10]
['лъикiав', 10]
['муиде', 10]
['бачiана', 10]
['мугiрузул', 9]
['вачiун', 9]
['гьечiев', 9]
['цiикiкiун', 9]
['гьенив', 9]
['бекьилъ', 9]
['бараб', 9]
['вугин', 9]
['батизе', 9]
['вачiарав', 9]
['магiишат', 9]
['хiоцоса', 9]
['мугiрузда', 9]
['батiи-батiиял', 9]
['хiалтiизе', 9]
['гьалбал', 9]
['абулаан', 9]
['мехалда', 9]
['балагьун', 9]
['рукiунаан', 9]
['гiаламалъе', 9]
['кочiохъан', 9]
['хъвалел', 9]
['гъваридаб', 9]
['кiиябго', 9]
['берцинал', 9]
['чиясе', 9]
['хасго', 9]
['хирияв', 9]
['гъоркь', 9]
['лъикiал', 9]
['хъвазе', 9]
['цiадаса', 9]
['ракь', 9]
['бицунаан', 9]
['гiумруги', 9]
['жинда', 9]
['хварав', 9]
['хiатта', 9]
['хал', 9]
['асаразул', 9]
['гьудулги', 9]
['жийго', 9]
['батани', 9]
['хъахiаб', 9]
['хъизан', 9]
['эбелалъул', 9]
['бугониги', 9]
['лъаларо', 9]
['цiун', 9]
['имам', 9]
['жиндаго', 9]
['цiа', 9]
['инсанасул', 9]
['къеркьана', 9]
['бицун', 9]
['ай', 9]
['рикiкiине', 9]
['асаралги', 8]
['вуссун', 8]
['къасидатал', 8]
['гьабулел', 8]
['гiищкъу', 8]
['хъахiабросу', 8]
['гъорлъе', 8]
['гъорлъ', 8]
['рачiун', 8]
['ккураб', 8]
['кiолеб', 8]
['махi', 8]
['къисмат', 8]
['дол', 8]
['гiурус', 8]
['хъулухъ', 8]
['рагiун', 8]
['цiунун', 8]
['махiач', 8]
['гiицiго', 8]
['вугилан', 8]
['чiужугiадан', 8]
['асар', 8]
['гьабичiого', 8]
['нахъа', 8]
['мухiамадица', 8]
['нугiлъи', 8]
['гьарулел', 8]
['бицен', 8]
['вукiаниги', 8]
['гьениве', 8]
['толеб', 8]
['поэтас', 8]
['кеп', 8]
['кочiое', 8]
['баян', 8]
['гiенеккун', 8]
['нилъеца', 8]
['батила', 8]
['сордоялъ', 8]
['кiвечiо', 8]
['бищун', 8]
['нур', 8]
['кочiолъ', 8]
['хунзахъ', 8]
['гьабулев', 8]
['рахъалде', 8]
['киназего', 8]
['релълъараб', 8]
['рукiине', 8]
['бихьизе', 8]
['рачiарал', 8]
['къотiнов', 8]
['къадал', 8]
['ракьанда', 8]
['вокьулев', 8]
['гьудуллъи', 8]
['меседил', 8]
['кьола', 8]
['рокъове', 8]
['мухъ', 8]
['сагiид', 8]
['гьезие', 8]
['загьир', 8]
['сверун', 8]
['батiи', 8]
['шигiраби', 8]
['йикiун', 8]
['киданиги', 8]
['щварав', 8]
['рачiунел', 8]
['гьереси', 8]
['гьебго', 8]
['бетiер', 8]
['гiодор', 8]
['чиясда', 8]
['магьдил', 8]
['ясал', 8]
['рагъида', 8]
['нахъеги', 8]
['чiужугiаданалъул', 8]
['инсуца', 8]
['анцiила', 8]
['гьас', 8]
['росасе', 8]
['лъабго', 8]
['бугила', 8]
['чиясул', 8]
['халкъалъул', 7]
['сонал', 7]
['хiаракат', 7]
['н', 7]
['тихоновас', 7]
['мурад', 7]
['гiемерисел', 7]
['ккезе', 7]
['хутiизе', 7]
['таманал', 7]
['босулеб', 7]
['дагъистаналда', 7]
['адабияталъул', 7]
['лъим', 7]
['чанги', 7]
['хiасратал', 7]
['гьединал', 7]
['пикраби', 7]
['абулев', 7]
['хутiичiо', 7]
['бахъараб', 7]
['мацiалда', 7]
['чияр', 7]
['хъахiабросдерил', 7]
['лъугьа', 7]
['хабада', 7]
['байбихьана', 7]
['соназ', 7]
['рахъун', 7]
['арав', 7]
['гьесде', 7]
['вачiана', 7]
['къотiун', 7]
['битiун', 7]
['мустахiикъав', 7]
['ансадерил', 7]
['гьитiинабго', 7]
['базе', 7]
['вугеб', 7]
['гьеле', 7]
['дирго', 7]
['дуего', 7]
['те', 7]
['бухiун', 7]
['гьавураб', 7]
['цояб', 7]
['дагьаб', 7]
['хасаб', 7]
['бачiараб', 7]
['бичiчiизе', 7]
['гьединлъидал', 7]
['чан', 7]
['рахъал', 7]
['тiубараб', 7]
['вукiанилан', 7]
['анасил', 7]
['соналъул', 7]
['бугоан', 7]
['квер', 7]
['рокъоб', 7]
['дунго', 7]
['гiураб', 7]
['рикiкiуна', 7]
['лъикiго', 7]
['гьунаралъул', 7]
['дибирлъун', 7]
['аскiове', 7]
['бихьулеб', 7]
['захiматаб', 7]
['вачiине', 7]
['чiанкiаца', 7]
['рекiелъ', 7]
['гiезегiанго', 7]
['унго', 7]
['бахъулеб', 7]
['гiазизовас', 7]
['бахъизе', 7]
['кодобе', 7]
['рагiана', 7]
['гiумруялда', 7]
['кицилъун', 7]
['жий', 7]
['сипатал', 7]
['биччан', 7]
['течiо', 7]
['кквезе', 7]
['бертин', 7]
['рекъараб', 7]
['эбелги', 7]
['гьечiин', 7]
['ккарав', 7]
['сабаб', 7]
['дуниял', 7]
['нахъисеб', 7]
['гiолохъабаз', 7]
['кiвар', 7]
['чiезабизе', 7]
['унго-унгояв', 7]
['махiмудиде', 7]
['бихьинчи', 7]
['хiажат', 7]
['гьабичiо', 7]
['аскiов', 7]
['адабият', 7]
['цiунарал', 7]
['сипат', 7]
['мухъал', 7]
['чiалгiун', 7]
['гьарана', 7]
['ясги', 7]
['росабалъе', 7]
['тiоцересел', 7]
['рокъов', 7]
['инсан', 7]
['гьениса', 7]
['лъимал', 7]
['гiезегiан', 6]
['росун', 6]
['гуребги', 6]
['тараб', 6]
['вукiин', 6]
['рахъарал', 6]
['гьайбатал', 6]
['мурадалде', 6]
['ккарал', 6]
['чiаго', 6]
['гiодобе', 6]
['лъугьараб', 6]
['бербалагьи', 6]
['некiсияб', 6]
['ватiан', 6]
['битiараб', 6]
['кавказалъул', 6]
['рахъ', 6]
['ражаб', 6]
['хъахiабросдал', 6]
['бичiчiулеб', 6]
['ахiулел', 6]
['памятник', 6]
['рагьун', 6]
['тiоцевесев', 6]
['хiалтiулев', 6]
['байбихьуда', 6]
['ругилан', 6]
['цогидалги', 6]
['щвезегiан', 6]
['хiасан', 6]
['берцин', 6]
['гiелмабазул', 6]
['тiахьал', 6]
['жинца', 6]
['муилги', 6]
['чiвараб', 6]
['магiу', 6]
['районалъул', 6]
['рукiин', 6]
['жидер', 6]
['канлъи', 6]
['метер', 6]
['ячiана', 6]
['сордо', 6]
['ани', 6]
['валагьун', 6]
['хадубги', 6]
['лъезе', 6]
['ясалъул', 6]
['рачiуна', 6]
['гiащикъаб', 6]
['вукiине', 6]
['вачiунев', 6]
['гiадамазе', 6]
['букiинчiеб', 6]
['гьадинаб', 6]
['цоцаде', 6]
['жанисан', 6]
['рекiелъе', 6]
['гьединго', 6]
['гьабуни', 6]
['хiакъикъаталда', 6]
['нухдасан', 6]
['асаразе', 6]
['рагiабаз', 6]
['литератураялъул', 6]
['цiалана', 6]
['унаан', 6]
['макъала', 6]
['вачiуна', 6]
['бугей', 6]
['баркала', 6]
['мустахiикъаб', 6]
['хасият', 6]
['алжаналда', 6]
['бер', 6]
['бихьун', 6]
['хирияй', 6]
['гьагав', 6]
['кантiизе', 6]
['ккечiо', 6]
['босизе', 6]
['гьелде', 6]
['тезе', 6]
['кверги', 6]
['чiахiиял', 6]
