['пуная', 303]
['іисайи', 239]
['хьуная', 224]
['э', 217]
['зун', 216]
['ге', 214]
['са', 161]
['аллагьдин', 149]
['учин', 144]
['чун', 139]
['іиса', 127]
['вун', 123]
['чвас', 123]
['гебурис', 104]
['ахьуная', 100]
['зе', 100]
['акьас', 91]
['аркьай', 89]
['ве', 89]
['пуна', 88]
['ме', 88]
['инсан', 86]
['хьуна', 85]
['акьуна', 85]
['кіилди', 81]
['чве', 81]
['гис', 80]
['те', 77]
['адава', 76]
['гебур', 74]
['гебури', 71]
['вас', 69]
['ги', 69]
['хаб', 69]
['агъай', 68]
['ппара', 68]
['амма', 68]
['хабар', 63]
['кіиркі', 62]
['ая', 61]
['агъа', 60]
['хьасе', 59]
['вей', 58]
['суман', 58]
['гин', 58]
['е', 58]
['іисайис', 58]
['хіа', 57]
['акьуная', 56]
['акье', 56]
['инсанар', 55]
['зас', 51]
['іисайин', 49]
['джалла', 48]
['ахьасе', 47]
['аркьа', 46]
['агъая', 46]
['я', 43]
['хіаф', 43]
['гъил', 42]
['инсандин', 42]
['ушуная', 40]
['хулади', 40]
['завал', 40]
['фи', 40]
['гьеге', 39]
['инсанарис', 39]
['сагъ', 39]
['гъушуная', 38]
['аллагьди', 37]
['юрків', 37]
['ле', 37]
['уч', 35]
['сасра', 35]
['акьасе', 34]
['адина', 34]
['магьа', 34]
['ягъа', 34]
['нагагь', 34]
['дава', 33]
['адиная', 33]
['хъара', 33]
['эесси', 33]
['гаф', 32]
['ушуна', 32]
['кьабул', 32]
['ягіар', 30]
['хулаъ', 30]
['дуьгіебур', 30]
['удигь', 30]
['кар', 30]
['чин', 30]
['гучі', 29]
['йиная', 29]
['іу', 29]
['халкь', 28]
['кехіей', 27]
['есе', 26]
['гебурин', 26]
['кканди', 26]
['чиппин', 25]
['хъая', 25]
['гьикуная', 25]
['ухь', 25]
['паччагьвел', 25]
['джуваб', 25]
['гунагьар', 25]
['хулан', 25]
['джан', 25]
['ппай', 25]
['ай', 24]
['аллагьдис', 24]
['шукур', 24]
['йина', 24]
['идже', 23]
['фикир', 23]
['инсанари', 23]
['ахъакьуная', 23]
['вея', 23]
['ккандея', 23]
['пайгъамбар', 22]
['муьхітал', 22]
['фера', 22]
['лукі', 22]
['сагелай', 22]
['инсанди', 22]
['хьир', 21]
['джуьре', 21]
['пас', 21]
['биціи', 21]
['адегуна', 21]
['чиппис', 21]
['мегіелим', 21]
['сара', 21]
['дала', 21]
['ученикарис', 21]
['гьал', 20]
['дерейин', 20]
['вахттуни', 20]
['тисаъ', 20]
['ешемиш', 20]
['вахтт', 20]
['гъузуна', 20]
['фас', 20]
['экьуна', 20]
['ичин', 20]
['пай', 20]
['уп', 20]
['час', 19]
['дузди', 19]
['шиниккв', 19]
['фиштти', 19]
['аллагь', 19]
['фуш', 19]
['фай', 19]
['аціуна', 19]
['маркьа', 19]
['шейтіанар', 19]
['мич', 18]
['але', 18]
['хъай', 18]
['ли', 18]
['аяф', 18]
['инсандис', 18]
['гирами', 18]
['дад', 18]
['гьина', 18]
['гьегиштти', 18]
['гуни', 18]
['хура', 18]
['киш', 18]
['язукъ', 18]
['мева', 17]
['ттур', 17]
['рекъуьъ', 17]
['дишагьли', 17]
['чаб', 17]
['хьас', 17]
['іайи', 17]
['сад', 17]
['агвас', 17]
['ях', 17]
['іуьмур', 17]
['ягіай', 17]
['учис', 17]
['мисала', 17]
['эв', 17]
['гъайшина', 17]
['хіавел', 17]
['хал', 17]
['курар', 16]
['идеф', 16]
['гисаъ', 16]
['руьхі', 16]
['хіезур', 16]
['учи', 16]
['аркьая', 16]
['кканде', 16]
['гъушуна', 16]
['джилил', 16]
['ес', 16]
['пасе', 16]
['фидегьен', 16]
['агугуна', 16]
['шаб', 16]
['арайиъ', 15]
['галилея', 15]
['иджвел', 15]
['сеіетти', 15]
['хьин', 15]
['вес', 15]
['кумак', 15]
['уйи', 15]
['иджвелин', 15]
['багулив', 15]
['гафар', 15]
['тіалаб', 15]
['іисайифас', 15]
['хьунара', 15]
['агуна', 14]
['шиникквар', 14]
['батіар', 14]
['дуьгіе', 14]
['гил', 14]
['яхіъя', 14]
['шад', 14]
['халкьдис', 14]
['хьес', 14]
['месигь', 14]
['гьер', 14]
['іисайихъай', 14]
['захъай', 14]
['мисаъ', 13]
['хіавелдиъ', 13]
['агьал', 13]
['гъавурдиъ', 13]
['ерусалимдиди', 13]
['яхіъяйи', 13]
['налукар', 13]
['іисайилди', 13]
['ученикари', 13]
['диван', 13]
['ти', 13]
['гебурифас', 13]
['кіина', 13]
['ке', 12]
['агуная', 12]
['агвар', 12]
['хіуриди', 12]
['юсуф', 12]
['хьурай', 12]
['хуппай', 12]
['хье', 12]
['заварин', 12]
['ягіа', 12]
['мертт', 12]
['гардандиъ', 12]
['чвафас', 12]
['са-іу', 12]
['фая', 12]
['тегуна', 12]
['кея', 12]
['аркьаф', 12]
['гьалдин', 12]
['пул', 12]
['йирхіуна', 12]
['девлетлу', 12]
['паччагь', 11]
['инсанарин', 11]
['хьасттава', 11]
['баб', 11]
['акьуне', 11]
['архьуна', 11]
['ликіина', 11]
['гунагьарилас', 11]
['варттал', 11]
['алдаркуна', 11]
['іекв', 11]
['гебурихъай', 11]
['гіедат', 11]
['гъушен', 11]
['гъушанас', 11]
['фацуна', 11]
['сайисра', 11]
['іисайик', 11]
['петтру', 11]
['масса', 11]
['хъуттурфен', 11]
['суфрайихъ', 11]
['маслихіет', 11]
['кіиная', 11]
['пилата', 11]
['че', 10]
['ціае', 10]
['агуф', 10]
['малайикди', 10]
['архьуная', 10]
['гъургъай', 10]
['вереф', 10]
['дехіела', 10]
['тегіди', 10]
['унихьугуна', 10]
['заалди', 10]
['ликіиная', 10]
['іаре', 10]
['хъел', 10]
['юркіураъ', 10]
['халкьди', 10]
['шейтіан', 10]
['ахттигьар', 10]
['іисайил', 10]
['мутіеі', 10]
['шатти', 10]
['эессис', 10]
['дада', 10]
['дуз', 9]
['ягьудея', 9]
['идехіела', 9]
['кіур', 9]
['гъузуная', 9]
['зурба', 9]
['гихъай', 9]
['кьуват', 9]
['пеф', 9]
['гифас', 9]
['чіукь', 9]
['гіанаъ', 9]
['лукіус', 9]
['гиштти', 9]
['мукь', 9]
['садпуна', 9]
['вере', 9]
['улар', 9]
['руш', 9]
['ашкіин', 9]
['ис', 9]
['ціеіу', 9]
['хьеттигі', 9]
['садра', 9]
['джаллабури', 9]
['ккея', 9]
['аркьагуна', 9]
['ягъ', 9]
['шагьурдиъ', 9]
['экьве', 9]
['бахттлубур', 9]
['шагьурдин', 9]
['унахъуна', 9]
['паччагьвелдиъ', 9]
['арсуран', 9]
['сур', 9]
['петтруйи', 9]
['тебурис', 9]
['кіесе', 9]
['тахсирар', 9]
['девлет', 9]
['кіес', 9]
['курарихъас', 8]
['тухумдиас', 8]
['ахьасттава', 8]
['чехир', 8]
['йинаф', 8]
['хьегуна', 8]
['давудан', 8]
['майрам', 8]
['майрама', 8]
