['абуна', 219]
['буго', 198]
['ва', 193]
['гіисаца', 173]
['гьеб', 168]
['гьес', 159]
['цо', 149]
['гьев', 141]
['гьел', 119]
['чи', 118]
['дица', 114]
['амма', 104]
['гьесда', 104]
['гьезда', 96]
['нуж', 92]
['вуго', 91]
['гіиса', 89]
['букіана', 85]
['нужеда', 85]
['я', 85]
['аллагьасул', 80]
['дир', 80]
['абулеб', 75]
['мехалъ', 69]
['дур', 68]
['жиндирго', 68]
['мун', 67]
['дун', 67]
['цадахъ', 65]
['тіаде', 64]
['гьез', 62]
['гьабизе', 62]
['ян', 62]
['бугеб', 60]
['цинги', 59]
['абун', 59]
['гьесул', 57]
['гьале', 57]
['нужеца', 55]
['дида', 53]
['гіисада', 53]
['вукіана', 52]
['рукіана', 52]
['дуца', 50]
['къоялъ', 50]
['чіун', 47]
['гьебмехалъ', 47]
['гьаб', 46]
['гьабун', 45]
['тіад', 45]
['нужее', 45]
['лъугьана', 43]
['хіакъалъулъ', 42]
['руго', 42]
['гіадамал', 40]
['дуда', 39]
['дуе', 38]
['гьедин', 38]
['нахъе', 38]
['ана', 38]
['ун', 38]
['лъимер', 37]
['киналго', 36]
['вачіун', 36]
['кьуна', 35]
['вас', 34]
['гьечіо', 34]
['нужер', 34]
['гьезие', 33]
['гьезул', 32]
['гьикъана', 32]
['гьанже', 32]
['ккун', 32]
['абуни', 31]
['гурони', 30]
['гіисал', 30]
['кинабго', 29]
['тіадегіанав', 29]
['гьелда', 28]
['гьабуна', 28]
['гьесие', 28]
['аллагьасе', 28]
['вахъун', 28]
['тіолабго', 27]
['жаваб', 27]
['бицана', 27]
['вугев', 26]
['дие', 26]
['щиб', 26]
['дурго', 26]
['мукъадасаб', 25]
['гурищ', 25]
['букіараб', 25]
['хабар', 25]
['кіиго', 25]
['яги', 25]
['гіадамил', 25]
['гьелъул', 24]
['бетіерчіахъад', 24]
['ккола', 23]
['ругел', 23]
['гьав', 23]
['дов', 23]
['чияс', 22]
['босун', 22]
['илагьияб', 22]
['эмен', 22]
['кьезе', 22]
['анціила', 22]
['рукіарал', 22]
['жо', 21]
['гьей', 21]
['халкъалъул', 21]
['ахіун', 21]
['гіадин', 21]
['бокьун', 21]
['лъун', 21]
['абе', 21]
['аллагьас', 20]
['цогидал', 20]
['цебе', 20]
['цеве', 20]
['халкъ', 20]
['аллагь', 20]
['бугин', 20]
['квер', 20]
['парччахілъи', 20]
['данде', 20]
['рокъове', 19]
['иш', 19]
['ан', 19]
['ракіалде', 19]
['кколеб', 19]
['кіудияб', 19]
['щай', 19]
