['ил', 308]
['ва', 238]
['иб', 229]
['гіисани', 191]
['илди', 163]
['саби', 134]
['сай', 134]
['сунела', 125]
['гіиса', 120]
['илини', 115]
['амма', 111]
['ца', 110]
['аллагьла', 106]
['нуни', 94]
['илала', 88]
['хіела', 88]
['дила', 87]
['илизи', 82]
['ну', 79]
['хіу', 79]
['или', 77]
['хіуша', 76]
['адам', 75]
['илдани', 72]
['гіур', 68]
['илдази', 64]
['багьандан', 61]
['илис', 59]
['урши', 59]
['хіуни', 57]
['хіушани', 55]
['биалли', 54]
['замана', 53]
['хіушала', 52]
['секіал', 49]
['хіушази', 48]
['я', 47]
['бархіи', 47]
['лебилра', 47]
['хьунул', 45]
['се', 44]
['сенкіун', 43]
['гъай', 43]
['иш', 43]
['сари', 43]
['халкь', 41]
['иличи', 40]
['чула', 39]
['низам-зегъала', 39]
['гьар', 38]
['лерилра', 38]
['хіушаб', 38]
['буриб', 37]
['жаваб', 37]
['илхіели', 37]
['адамти', 37]
['гіергъи', 36]
['хьарбаиб', 36]
['сунес', 35]
['арикар', 35]
['гьатіи', 35]
['лебил', 34]
['бирар', 34]
['хіед', 33]
['ит', 32]
['наб', 31]
['бурулра', 31]
['аллагьли', 30]
['бедиб', 30]
['набчи', 30]
['цархіил', 30]
['илдала', 29]
['аллагьлис', 29]
['бахъал', 29]
['сунечи', 29]
['илдас', 29]
['гіисала', 29]
['эгер', 29]
['яра', 28]
['цархіилти', 28]
['бурала', 28]
['хіера', 27]
['кіел', 27]
['инсаниятла', 27]
['гьанна', 26]
['гьари', 25]
['ахіен', 24]
['низамла', 24]
['барес', 23]
['дебали', 23]
['сайра', 23]
['хіези', 23]
['нушала', 23]
['сайри', 23]
['гіисази', 23]
['хала', 22]
['чи', 22]
['дунъя', 22]
['бикіуси', 21]
['ибси', 21]
['сунени', 21]
['веціну', 21]
['нушани', 21]
['адамли', 21]
['гьалаб', 20]
['хъайгіи', 20]
['халкьла', 20]
['сут', 20]
['илаб', 20]
['хьалли', 19]
['дурхъаси', 19]
['арякьун', 19]
['гіисачи', 19]
['сабри', 18]
['халаси', 18]
['бурибси', 18]
['селра', 18]
['илгъуна', 18]
['хіушачи', 18]
['хіекь', 18]
['хабар', 17]
['сен', 17]
['дугьайзурли', 17]
['сунези', 17]
['дахъал', 17]
['къараваш', 17]
['жиндри', 17]
['яхіъя', 16]
['вирар', 16]
['нуша', 16]
['гьалав', 16]
['лебри', 16]
['илдачи', 16]
['дурхіни', 15]
['лерил', 15]
['масихі', 15]
['дудеш', 15]
['халкьлизи', 15]
['ярусалимлизи', 15]
['илав', 15]
['иша', 15]
['ахіи', 15]
['гіяхіси', 15]
['хіура', 14]
['жаваблис', 14]
['илбагьандан', 14]
['дурхія', 14]
['нушаб', 14]
['виэс', 14]
['гіягіниси', 14]
['гіурра', 14]
