['the', 1379]
['and', 1005]
['to', 825]
['you', 569]
['of', 544]
['he', 489]
['a', 330]
['him', 330]
['will', 318]
['in', 313]
['they', 286]
['i', 234]
['is', 234]
['jesus', 232]
['for', 231]
['was', 231]
['them', 229]
['be', 224]
['who', 214]
['not', 213]
['it', 206]
['said', 200]
['but', 192]
['his', 191]
['that', 180]
['this', 170]
['on', 168]
['when', 165]
['with', 163]
['your', 151]
['one', 137]
['what', 132]
['all', 127]
['were', 124]
['god', 123]
['are', 120]
['then', 119]
['have', 118]
['had', 118]
['man', 115]
['from', 107]
['do', 107]
['at', 105]
['me', 101]
['out', 97]
['so', 95]
['people', 91]
['as', 86]
['up', 85]
['has', 83]
['my', 83]
['lord', 77]
['there', 74]
['came', 70]
['come', 70]
['went', 70]
['their', 69]
['those', 68]
['tell', 68]
['by', 66]
['because', 66]
['son', 66]
['if', 64]
['s', 63]
['asked', 61]
['no', 61]
['about', 60]
['into', 59]
['or', 58]
['go', 56]
['her', 52]
['say', 52]
['been', 51]
['see', 48]
['replied', 48]
['she', 47]
['father', 47]
['things', 46]
['did', 46]
['disciples', 46]
['day', 45]
['give', 44]
['us', 43]
['down', 43]
['kingdom', 43]
['house', 43]
['time', 42]
['told', 42]
['t', 42]
['how', 41]
['saw', 39]
['against', 39]
['other', 38]
['can', 38]
['good', 38]
['we', 38]
['now', 37]
['also', 35]
['sent', 35]
['these', 35]
['john', 34]
['town', 34]
['called', 34]
['more', 33]
['even', 32]
['over', 32]
['like', 32]
['law', 32]
['jerusalem', 32]
['away', 31]
['answered', 31]
['way', 31]
['many', 30]
['crowd', 30]
['some', 30]
['an', 29]
['back', 29]
['am', 29]
['which', 28]
['heaven', 28]
['two', 28]
['spirit', 27]
['why', 27]
['going', 27]
['left', 27]
['began', 27]
['place', 27]
['put', 27]
['know', 26]
['after', 26]
['gave', 26]
['than', 26]
['master', 26]
['before', 25]
['heard', 25]
['took', 25]
['while', 25]
['whoever', 25]
['take', 24]
['servant', 24]
['everyone', 24]
['don', 24]
['here', 24]
['among', 23]
['where', 23]
['let', 23]
['get', 23]
['eat', 23]
['found', 22]
['life', 22]
['child', 21]
['whom', 21]
['hear', 21]
['first', 20]
['temple', 20]
['great', 20]
['until', 20]
['mary', 20]
['should', 20]
['saying', 20]
['himself', 20]
['pharisees', 20]
['others', 20]
['woman', 20]
['name', 19]
['does', 19]
['peter', 19]
['someone', 19]
['dead', 19]
['children', 18]
['blessed', 18]
['mother', 18]
['another', 18]
['written', 18]
['anyone', 18]
['sabbath', 18]
['stood', 18]
['simon', 18]
['must', 18]
['men', 18]
['prophets', 18]
['still', 18]
['feet', 18]
['make', 17]
['words', 17]
['home', 17]
['days', 17]
['would', 17]
['hand', 17]
['coming', 17]
['teachers', 17]
['our', 17]
['comes', 17]
['just', 16]
['word', 16]
['may', 16]
['very', 16]
['holy', 16]
['women', 16]
['own', 16]
['given', 16]
['teacher', 16]
['love', 16]
['demons', 16]
['parable', 16]
['angel', 15]
['find', 15]
['yet', 15]
['healed', 15]
['little', 15]
['themselves', 15]
['much', 15]
['body', 15]
['everything', 14]
['herod', 14]
['right', 14]
['afraid', 14]
['news', 14]
['long', 14]
['returned', 14]
['done', 14]
['got', 14]
['near', 14]
['brother', 14]
['yourselves', 14]
['each', 14]
['fell', 14]
['priests', 14]
['woe', 14]
['servants', 13]
['bring', 13]
['taken', 13]
['galilee', 13]
['three', 13]
['every', 13]
['look', 13]
['shall', 13]
['any', 13]
['bread', 13]
['authority', 13]
['through', 13]
['together', 13]
['enter', 13]
['chief', 13]
['king', 12]
['wife', 12]
['power', 12]
['well', 12]
['stand', 12]
['could', 12]
['became', 12]
['country', 12]
['made', 12]
['messiah', 12]
['earth', 12]
['off', 12]
['prophet', 12]
['twelve', 12]
['pilate', 12]
['sins', 12]
['abraham', 12]
['only', 12]
['hands', 12]
['faith', 12]
['table', 12]
['since', 11]
['judea', 11]
['zechariah', 11]
['elizabeth', 11]
['able', 11]
['old', 11]
['never', 11]
['years', 11]
['five', 11]
['entered', 11]
['immediately', 11]
['set', 11]
['today', 11]
['peace', 11]
['happened', 11]
['friends', 11]
['tax', 11]
['money', 11]
['full', 11]
['nothing', 11]
['want', 11]
['poor', 11]
['large', 11]
['along', 11]
['village', 11]
['pray', 11]
['ask', 11]
['rich', 11]
['its', 11]
['kill', 11]
['both', 10]
['sight', 10]
['appeared', 10]
['joy', 10]
['filled', 10]
['ready', 10]
['speak', 10]
['seen', 10]
['kept', 10]
['david', 10]
['voice', 10]
['amazed', 10]
['heart', 10]
['moses', 10]
['brought', 10]
['fruit', 10]
['same', 10]
['led', 10]
['yourself', 10]
['whole', 10]
['teaching', 10]
['synagogue', 10]
['follow', 10]
['sinners', 10]
['looked', 10]
['under', 10]
['generation', 10]
['brothers', 10]
['finds', 10]
['again', 10]
['ten', 10]
['eye', 9]
['named', 9]
['once', 9]
['drink', 9]
['israel', 9]
['believe', 9]
['joseph', 9]
['high', 9]
['night', 9]
['angels', 9]
['seven', 9]
['fire', 9]
['rebuked', 9]
['evil', 9]
['being', 9]
['stone', 9]
