['и', 1411]
['в', 463]
['не', 360]
['он', 282]
['его', 278]
['сказал', 253]
['что', 246]
['же', 204]
['на', 198]
['с', 146]
['ему', 143]
['когда', 138]
['из', 130]
['им', 128]
['но', 126]
['а', 125]
['ибо', 120]
['к', 107]
['вам', 104]
['они', 101]
['от', 93]
['как', 87]
['я', 86]
['иисус', 81]
['это', 78]
['о', 74]
['ты', 74]
['все', 74]
['кто', 74]
['вы', 74]
['у', 72]
['был', 71]
['то', 69]
['чтобы', 69]
['по', 68]
['их', 66]
['будет', 61]
['если', 61]
['вас', 60]
['за', 59]
['мне', 58]
['меня', 58]
['него', 53]
['ним', 53]
['тот', 47]
['них', 46]
['есть', 46]
['так', 45]
['тебя', 45]
['тебе', 44]
['день', 42]
['ли', 42]
['сын', 41]
['тогда', 40]
['народ', 40]
['во', 39]
['бы', 39]
['или', 39]
['вот', 35]
['потому', 35]
['дом', 34]
['ни', 34]
['ее', 33]
['пред', 32]
['было', 32]
['которые', 32]
['сказали', 32]
['всех', 31]
['человек', 31]
['говорю', 31]
['нам', 30]
['который', 30]
['один', 30]
['также', 28]
['пришел', 28]
['божие', 27]
['дни', 26]
['бога', 26]
['она', 26]
['были', 25]
['ответ', 25]
['нему', 25]
['между', 24]
['ними', 24]
['нем', 24]
['господи', 24]
['для', 23]
['себе', 23]
['царствие', 23]
['того', 22]
['время', 22]
['себя', 22]
['уже', 21]
['еще', 21]
['говорить', 21]
['над', 21]
['говорил', 21]
['нет', 21]
['говорили', 21]
['говоря', 21]
['сего', 21]
['народа', 20]
['да', 20]
['своего', 20]
['итак', 20]
['сам', 20]
['сына', 19]
['господь', 19]
['нас', 19]
['пошел', 19]
['была', 18]
['увидев', 18]
['до', 18]
['мой', 18]
['там', 18]
['при', 18]
['мы', 18]
['много', 18]
['господин', 18]
['против', 18]
['горе', 18]
['сказываю', 18]
['ей', 17]
['всем', 17]
['ко', 17]
['иерусалим', 17]
['быть', 17]
['мною', 17]
['имя', 16]
['сие', 16]
['будут', 16]
['чем', 16]
['тотчас', 16]
['отец', 16]
['иисуса', 16]
['со', 16]
['человеческий', 16]
['свой', 15]
['твоего', 15]
['пришли', 15]
['должно', 15]
['собою', 15]
['придя', 15]
['видя', 15]
['некто', 15]
['именем', 14]
['твоя', 14]
['своих', 14]
['ныне', 14]
['учитель', 14]
['ничего', 14]
['своим', 14]
['где', 14]
['послал', 14]
['здесь', 14]
['петр', 14]
['некоторые', 14]
['человека', 14]
['одного', 14]
['дома', 13]
['мария', 13]
['бог', 13]
['отца', 13]
['слово', 13]
['моего', 13]
['сей', 13]
['те', 13]
['тому', 13]
['всякий', 13]
['твое', 13]
['весь', 13]
['место', 13]
['свои', 13]
['ученикам', 13]
['притчу', 13]
['никто', 13]
['учеников', 13]
['взяв', 13]
['придет', 13]
['скажет', 13]
['своей', 12]
['иоанн', 12]
['свое', 12]
['город', 12]
['дух', 12]
['руки', 12]
['земле', 12]
['нашли', 12]
['видели', 12]
['прежде', 12]
['делать', 12]
['кого', 12]
['более', 12]
['иоанна', 12]
['истинно', 12]
['сказав', 12]
['книжники', 12]
['имеет', 12]
['больше', 12]
['неба', 12]
['отче', 12]
['слова', 11]
['множество', 11]
['ангел', 11]
['духа', 11]
['тобою', 11]
['господа', 11]
['пророков', 11]
['народу', 11]
['города', 11]
['которая', 11]
['богу', 11]
['друг', 11]
['том', 11]
['сем', 11]
['сделал', 11]
['твой', 11]
['может', 11]
['которого', 11]
['вошел', 11]
['другой', 11]
['фарисеи', 11]
['человеку', 11]
['субботу', 11]
['дал', 11]
['третий', 11]
['твоих', 11]
['многие', 10]
['войти', 10]
['господу', 10]
['сердца', 10]
['будешь', 10]
['храме', 10]
['сказала', 10]
['стал', 10]
