['ва', 429]
['хъа', 308]
['кіуру', 193]
['думу', 179]
['исайи', 177]
['чан', 150]
['дугъу', 130]
['аллагьдин', 128]
['бай', 126]
['дугъаз', 118]
['вари', 116]
['му', 112]
['узу', 110]
['дурариз', 105]
['иса', 103]
['ву', 103]
['яв', 102]
['йиз', 92]
['учву', 89]
['гъапи', 86]
['фицики', 83]
['дурар', 82]
['я', 82]
['гъахьну', 82]
['уву', 78]
['шулу', 76]
['дугъан', 73]
['сар', 70]
['кіури', 66]
['айи', 65]
['гьамци', 62]
['саб', 62]
['гьадму', 60]
['ичв', 60]
['вуйи', 59]
['апіуз', 58]
['апіури', 58]
['дурари', 58]
['учвуз', 57]
['гьаци', 57]
['дапіну', 52]
['гьаз', 51]
['ин', 51]
['апіуру', 51]
['кас', 49]
['увуз', 46]
['дуфну', 45]
['хьиди', 44]
['агъа', 44]
['хьибди', 42]
['гьадмуган', 41]
['йигъан', 41]
['бадали', 40]
['узуз', 40]
['гьаму', 40]
['магьа', 40]
['жаваб', 40]
['исайин', 39]
['халкь', 38]
['гъапиш', 36]
['вуди', 35]
['хулаъ', 35]
['фу', 35]
['хъасин', 35]
['хил', 35]
['эгер', 35]
['ягь', 34]
['амма', 34]
['учв', 34]
['ади', 33]
['духьну', 33]
['гизаф', 33]
['арайиъ', 32]
['улихь', 32]
['фуж', 32]
['ан', 32]
['хулаз', 31]
['ккун', 31]
['сагъ', 31]
['чпин', 30]
['чаз', 30]
['гьерхру', 30]
['дурарин', 30]
['гучі', 28]
['аьгъю', 28]
['кьяляхъ', 27]
['апіиди', 27]
['исайиз', 27]
['багахь', 27]
['гафар', 25]
['уч', 25]
['инсаниятдин', 25]
['жара', 24]
['тувру', 24]
['дугъ', 23]
['хабар', 22]
['хъади', 22]
['вал', 22]
['гъюру', 22]
['ина', 22]
['душну', 22]
['апіинай', 22]
['пис', 22]
['вуш', 22]
['апіин', 22]
['кіуразачвуз', 22]
['кьабул', 22]
['фици', 21]
['мар', 21]
['гъапну', 21]
['мюгьтал', 21]
['гъягъюру', 21]
['учу', 21]
['гьацира', 21]
['пай', 21]
['паччагьлугъ', 21]
['чіиви', 21]
['аллагьди', 20]
['гьаддиз', 20]
['сарун', 20]
['шли', 20]
['мялим', 20]
['зурба', 19]
['хъюгъру', 19]
['за', 19]
['дих', 19]
['гъудужвну', 19]
['вахтна', 18]
