["hic'ile", 4982]
["k'ʷar", 4479]
['ible', 2286]
['e', 2136]
['ce', 1929]
['a', 1763]
['ca', 1723]
['dila', 1617]
['laˤ', 1613]
['du', 1579]
['i', 1519]
['cara', 1404]
['bude', 1336]
['taˤ', 1284]
['it', 1256]
['na', 1132]
['de', 1060]
['laˤtːe', 1027]
['cinna', 963]
['ze', 923]
["cik'al", 916]
['burχe', 817]
['bu', 761]
['gale', 750]
['dude', 710]
['nixːala', 704]
['da', 702]
['ibda', 700]
['ude', 695]
['nu', 667]
['itːe', 666]
['dicːe', 661]
['dami', 643]
['ej', 637]
['aχːara', 618]
['durχe', 610]
['nusːa', 602]
['χaˤma', 601]
['jaˤ', 599]
['xade', 597]
['agurre', 587]
['waˤde', 585]
['taˤma', 580]
['u', 573]
['rusːe', 545]
['halize', 542]
['hana', 541]
['rude', 541]
['čula', 534]
['butun', 533]
['halitːe', 533]
['nisːala', 520]
['dusː', 512]
['kala', 499]
['musːa', 493]
['ja', 486]
["č'ʷal", 480]
['itila', 480]
["barq'ible", 478]
['helize', 477]
['jaˤma', 472]
['taˤtːe', 467]
['ite', 464]
['aˤla', 463]
['hejtːe', 454]
['helitːe', 454]
['χaˤ', 450]
['šːicːe', 425]
['agurda', 420]
['burχuble', 412]
['aˤtːi', 408]
["k'aˤma", 405]
['šːa', 388]
['kːuri', 385]
['ʡa̰bal', 384]
['ča', 376]
["urč'ili", 372]
['zi', 370]
['barq', 367]
["ba̰jk'aj", 363]
['χːʷalaze', 356]
['bursa', 349]
['durč', 347]
['baˤčːu', 341]
['akːu', 338]
['datːe', 336]
['iti', 325]
["c'iq'ʷaj", 314]
['urχuble', 311]
['uˤ', 307]
['hitːe', 306]
['qarri', 303]
['ci', 299]
['hararka', 299]
["k'aˤ", 298]
['itsːaħ', 296]
['uže', 295]
['adme', 294]
['bare', 289]
['zil', 279]
['dučːe', 274]
['buχuble', 273]
['buχub', 269]
["nik'aze", 268]
['dam', 262]
['macːa', 255]
["buk'le", 253]
['dura', 247]
['insane', 246]
["barq'ab", 244]
['hira', 243]
['baˤkːu', 243]
["darq'ible", 243]
['agur', 239]
['ʡapa', 238]
['dirq', 234]
['aˤcːe', 227]
["čak'al", 226]
['1', 223]
['ʡa̰χːze', 222]
['ištːe', 222]
['darq', 221]
['cizil', 218]
['χaˤtːe', 218]
['itːu', 217]
["wač'ible", 216]
['2', 214]
['huja', 213]
['babaj', 212]
['aha', 212]
['cun', 210]
['wa̰ħ', 207]
['uč', 206]
['χabar', 205]
["barq'ib", 202]
['laˤma', 200]
['buze', 200]
['ʡa̰χːle', 199]
['kuble', 199]
['taman', 197]
['nisːi', 197]
["uk'le", 196]
['agursːaħ', 196]
["nik'akne", 195]
['qalbe', 194]
["dirq'le", 193]
['har', 193]
['babajla', 192]
['urχe', 192]
["birq'le", 191]
['wallah', 190]
['maxtawli', 190]
['il', 189]
['χːʷala', 188]
['buč', 186]
['maħmad', 185]
['duχuble', 184]
['iga', 183]
['ucːe', 183]
["bat'arze", 183]
['luqle', 182]
['χajle', 177]
['χabare', 176]
['cibar', 176]
['cili', 174]
['cajna', 174]
["nik'el", 168]
['bursle', 168]
['šila', 166]
['aʁʷal', 162]
['laˤsːaħ', 162]
['itra', 162]
['šːila', 162]
['ru', 161]
['ha', 161]
['daxade', 161]
['argle', 159]
['hari', 158]
["cik'arra", 158]
["wec'nu", 157]
["buk'anze", 156]
['gužle', 156]
['daže', 154]
["nik'ale", 153]
['značit', 151]
["wač'ib", 151]
['kub', 151]
['rusːbe', 151]
['burχar', 150]
["bat'arre", 150]
['uχuble', 150]
['xːarri', 149]
['wot', 149]
['itːala', 148]
['bahna', 148]
["jebč'ib", 148]
['buhar', 146]
['šːe', 146]
["bač'ible", 145]
['di', 145]
['3', 145]
['daˤčːu', 143]
["č'ʷarra", 142]
['insan', 142]
['armijali', 141]
['baqible', 139]
["bač'ib", 137]
["q'ʷala", 137]
['cunze', 136]
['galira', 136]
['datːila', 136]
['itar', 135]
['laˤce', 135]
["kalak'al", 135]
['itːad', 135]
['χːʷalle', 135]
["jebč'ible", 134]
['ruč', 134]
["birq'ande", 131]
["dirq'ande", 131]
['ruχuble', 128]
['burχle', 128]
['ruχː', 127]
['rurχe', 127]
['cːade', 125]
['hejze', 125]
['rucːe', 124]
['arc', 124]
["barq'ibda", 122]
['niš', 121]
['taˤsːaħ', 120]
["q'aj", 119]
["ucːiq'ar", 119]
["šik'al", 118]
['bikːle', 118]
['rurχuble', 118]
['sabaħ', 118]
['durk', 117]
['da̰wʡila', 115]
['baxande', 114]
["q'ʷa̰", 114]
['zu', 112]
['sibtːa', 111]
['ʁa̰be', 111]
['itːaj', 111]
['dil', 110]
['bahla', 109]
['iχ', 109]
["k'aˤtːe", 108]
['ʡurus', 107]
['bukana', 107]
["wec'al", 107]
['nušːala', 106]
['mašna', 106]
['zazaj', 106]
['cini', 106]
["ʁalat'", 105]
['malla', 105]
['cila', 105]
['waˤčːu', 105]
['cice', 104]
['elgunda', 103]
['χːʷalel', 103]
["ruk'le", 102]
['birq', 101]
['qːare', 101]
['wa̰ral', 101]
['alaw', 100]
['xujal', 100]
['wajze', 100]
['duze', 100]
['deble', 99]
['urče', 99]
['koroče', 99]
['cakan', 98]
['nušːa', 98]
['durχle', 98]
['buj', 97]
['da̰wʡili', 97]
['dujna', 97]
['qale', 96]
['ʡale', 96]
["bebč'ib", 96]
['qːarqːa', 96]
['baˤkːurre', 95]
['bikːande', 95]
['barxːle', 94]
['elgun', 94]
['zazajle', 94]
['taˤmarka', 93]
['igi', 93]
['baxle', 93]
['igila', 93]
['lugle', 93]
['ili', 93]
['ačːu', 93]
['ijar', 92]
['buχar', 92]
['arganar', 92]
['q', 92]
['rusːira', 91]
['burχande', 91]
['šːicːirka', 91]
["rač'ible", 90]
['xura', 90]
['šin', 90]
['buχubze', 90]
["šiq'an", 89]
['dukane', 89]
['allah', 89]
['ruχubda', 89]
['čum', 88]
['jaˤmarka', 88]
['waˤdijal', 87]
['ʁuršal', 87]
['ʡa̰kne', 87]
['admiqale', 86]
['daršː', 86]
['cizi', 85]
["rebč'ib", 85]
['čebže', 85]
['daqible', 84]
['qallaˤne', 84]
['waxle', 84]
['samatːe', 84]
['buχile', 84]
['bursi', 84]
['χaˤmarka', 83]
['galli', 83]
['durχuble', 83]
['wobše', 83]
['tːura', 82]
['čaqale', 82]
['kolχuzla', 82]
['xadile', 82]
['cibuχarra', 82]
['aˤburχar', 81]
['bilakːu', 81]
['cine', 81]
['baše', 81]
['xadira', 80]
['ši', 80]
['iltːe', 80]
['taˤkan', 79]
['barχle', 79]
['cej', 79]
['galla', 79]
['duχub', 78]
["rarq'ible", 78]
['durχade', 78]
['waˤkːu', 78]
['ba̰ħi', 78]
["k'oma", 78]
['cukːle', 77]
['duχubze', 77]
['jerčible', 77]
['kumag', 77]
['babajle', 77]
['acːaj', 77]
['ʡa̰χː', 77]
['iχtːe', 76]
['bacː', 76]
["bik'ande", 76]
['kalazil', 76]
['jara', 76]
['c', 76]
['cira', 75]
['bičːible', 75]
['nala', 75]
['zazajla', 75]
['daˤkːu', 75]
['butunra', 75]
['bahlale', 74]
['dišːu', 74]
['χoma', 74]
['ige', 74]
['budi', 74]
['carasːaħ', 74]
["warq'ible", 73]
['ʡusen', 73]
['ħa̰že', 73]
['durχande', 73]
['na̰qː', 72]
["k'aˤmarka", 72]
['bule', 72]
['ħa̰sːe', 72]
['a̰', 72]
['ʡumar', 72]
['rekːal', 72]
['uχub', 72]
["q'ajre", 72]
['žihilze', 72]
['a̰nar', 72]
['birqle', 71]
['nušːi', 71]
['lugi', 71]
['qːuruš', 71]
['bucuble', 70]
["darq'ibda", 70]
['cejna', 70]
["k'ʷari", 70]
['taˤti', 70]
['admira', 70]
['laˤli', 70]
['bahnadan', 70]
['haman', 70]
['pirmali', 70]
['taˤtila', 69]
["uk'ud", 69]
["rebč'ible", 69]
['qaʁar', 69]
['sabsin', 68]
['kaspijskːli', 68]
['cile', 68]
['galle', 68]
['bijal', 68]
['qume', 68]
['kalarka', 68]
['tudasʲuda', 67]
['bikːana', 67]
['rarq', 67]
['carʁa', 67]
['šːala', 67]
['qːṵčː', 67]
['akːuze', 67]
['ba̰rqːible', 66]
['čerkbible', 66]
["ruq'ijat", 66]
['debga', 66]
['hagitːe', 66]
['aˤdurχe', 66]
['čuqa', 66]
['jaˤce', 65]
['nik', 65]
["wač'ibsːaħ", 65]
['šinni', 65]
['usːaħ', 65]
['da̰qa̰la', 65]
['hajtːe', 65]
['da̰rqːible', 65]
['baqib', 65]
['bač', 65]
["datːiq'ar", 65]
['rusːila', 65]
['xarʁnila', 65]
['caj', 64]
['taˤte', 64]
['datːili', 64]
["q'ar", 63]
['rerčible', 63]
['baqi', 63]
['aˤbuχub', 62]
['čuj', 62]
['χaˤmajtːe', 62]
['daˤkːurre', 62]
['haqːible', 62]
['χːʷalħal', 62]
['ibsːaħ', 62]
['buχːuj', 62]
['nara', 62]
['pikre', 62]
['iχtːu', 62]
["aʁʷc'nu", 62]
["buk'ari", 61]
['datːira', 61]
['še', 61]
['harasːible', 61]
['risːle', 61]
['datːile', 61]
['ħajwane', 61]
["rač'ib", 60]
['cajra', 60]
['luqi', 60]
['samatːirka', 60]
['buχːu', 60]
["nik'aknira", 60]
['akːurre', 59]
['dawaj', 59]
['cejra', 59]
['bolʲnicːali', 59]
['ʡa̰čli', 59]
["buk'ande", 59]
["nuq'un", 59]
["q'uran", 59]
['šːilimatːe', 59]
['ʡa̰šːe', 59]
['gane', 59]
['aˤburχe', 59]
['raxle', 59]
["murtk'al", 58]
["buk'ar", 58]
['uze', 58]
["šiq'anna", 58]
['bursidaj', 58]
['čazil', 58]
["rucːiq'ar", 58]
['insanaj', 58]
["k'aˤmajtːe", 57]
['iχe', 57]
['arwarčible', 57]
['durχar', 57]
['baʡan', 57]
["χalq'", 57]
['qu', 57]
['laqit', 57]
['no', 56]
['sirawnu', 56]
['barcːe', 56]
['macːala', 56]
['daud', 56]
["ziq'ajdab", 56]
['cize', 56]
['qːistaban', 56]
['duχile', 56]
['dawʡali', 56]
['ʡare', 56]
["q'ṵle", 56]
['qːatːa', 55]
['cali', 55]
['ruda', 55]
['da̰wʡe', 55]
['dirqle', 54]
['jaˤkan', 54]
['sibtːala', 54]
['daqibda', 54]
["q'anne", 54]
['buχːule', 54]
["ruk'ud", 54]
["č'ʷaliban", 54]
['bikːar', 54]
["bic'ible", 54]
["dač'ible", 53]
['daxle', 53]
['saʡat', 53]
['itːira', 53]
['ʡa̰č', 53]
["rač'ibda", 53]
['baˤne', 53]
['nišle', 53]
['dicːille', 53]
['dusːaħ', 53]
["bek'", 53]
['raqible', 53]
['hanara', 53]
['dilejkːande', 53]
['haqːi', 52]
['haban', 52]
["tusnaq'li", 52]
['rusːaħ', 52]
["belk'unne", 52]
['qːuža', 52]
['postojanno', 52]
['taˤmajtːe', 51]
['aˤtː', 51]
['arče', 51]
['dusːre', 51]
['markːli', 51]
['acːajla', 51]
['cadaħ', 51]
['dičːible', 51]
['rerčibda', 51]
['berčible', 51]
['nusːara', 51]
['hane', 51]
['klasː', 51]
['busːaħ', 50]
['jaqible', 50]
['dusːraj', 50]
['ʁamkane', 50]
["nik'aknaj", 50]
['zaħmatle', 50]
['maħmadla', 49]
['haramatːe', 49]
