["k'ʷar", 1014]
["hic'ile", 678]
['e', 404]
['ible', 356]
['taˤ', 264]
['na', 198]
['laˤ', 197]
['cara', 193]
['ce', 192]
['it', 188]
['a', 182]
['bude', 180]
['ca', 171]
['cinna', 165]
['i', 158]
['da', 150]
['du', 148]
['de', 137]
['helize', 128]
['laˤtːe', 120]
['ze', 120]
['dila', 119]
['dude', 110]
['nixːala', 110]
["cik'al", 108]
['durχe', 107]
['helitːe', 99]
['itila', 97]
['macːa', 96]
['ude', 93]
['itːe', 93]
['burχe', 92]
['dicːe', 90]
['taˤtːe', 88]
['čula', 88]
['jaˤ', 86]
['hejtːe', 85]
['χaˤ', 83]
['χaˤma', 83]
['bu', 81]
['ʡa̰bal', 80]
['aχːara', 77]
['durč', 77]
['rude', 75]
['waˤde', 74]
['xade', 71]
['aˤla', 69]
['zi', 67]
["č'ʷal", 67]
['ej', 64]
['gale', 62]
['hana', 61]
['u', 60]
['aˤtːi', 60]
['urχe', 60]
['aha', 59]
['ite', 58]
['nu', 56]
['urχuble', 56]
['ja', 55]
["k'aˤma", 54]
["ba̰jk'aj", 54]
["barq'ible", 54]
['dami', 52]
['musːa', 52]
['dusː', 51]
['ibda', 51]
['butun', 48]
['datːe', 47]
['babaj', 47]
['taˤma', 46]
['uč', 46]
['nisːala', 45]
['rusːe', 45]
['akːu', 44]
['ištːe', 44]
["k'aˤ", 44]
['halize', 43]
['šːa', 42]
["urč'ili", 41]
['cizil', 41]
['huja', 41]
['ʡale', 41]
['agurre', 40]
['hira', 39]
["c'iq'ʷaj", 39]
["bat'arze", 39]
['kala', 38]
['cini', 38]
['bare', 37]
['nusːa', 37]
['cej', 37]
['zil', 36]
['χːʷalaze', 36]
['ha', 36]
['bursa', 35]
['dam', 35]
['ča', 35]
["nik'aze", 35]
['jaˤma', 35]
['xujal', 34]
['itsːaħ', 33]
['laˤma', 33]
['baˤčːu', 33]
['itːala', 33]
['iti', 32]
['buχuble', 32]
['baˤkːu', 32]
['kːuri', 31]
['ʡa̰χːze', 31]
['barq', 31]
['aˤcːe', 30]
['qarri', 30]
['har', 30]
['aʁʷal', 30]
['ʁa̰be', 30]
['cine', 29]
['ruχuble', 29]
['agurda', 29]
['burχuble', 29]
['kuble', 29]
["uk'le", 28]
["bat'arre", 28]
['bursle', 28]
['kalazil', 28]
['hitːe', 28]
['rurχe', 27]
['uˤ', 27]
['il', 27]
['nig', 27]
['babajla', 27]
['cibar', 27]
["darq'ible", 26]
['adme', 26]
['buχub', 26]
['χabare', 26]
['χaˤmajtːe', 26]
['halitːe', 25]
['arc', 25]
['rurχuble', 25]
['bahna', 25]
['gužle', 25]
["šiq'an", 25]
['wa̰ħ', 25]
['uže', 25]
['koroče', 25]
["q'aj", 24]
['itːu', 24]
['igila', 24]
['ʡapa', 24]
["barq'ab", 24]
['agursːaħ', 24]
['χaˤtːe', 23]
['ʡa̰χːle', 23]
['χabar', 23]
['sabaħ', 23]
['macːala', 23]
['hari', 22]
['hejze', 22]
["čak'al", 22]
['hararka', 22]
["bač'ib", 22]
['duχuble', 22]
["nik'el", 22]
['nik', 22]
["cik'arra", 21]
["nik'ale", 21]
["buk'le", 21]
["bač'ible", 21]
['ʡasan', 21]
['insane', 21]
["uk'ud", 21]
["birq'ande", 21]
['nisːija', 21]
['di', 20]
["wec'nu", 20]
['dura', 20]
['χajle', 20]
['dučːe', 20]
['šːicːe', 20]
['iga', 19]
['xːarri', 19]
['rekːal', 19]
['laˤce', 19]
['taman', 19]
['qalbe', 19]
['babajle', 19]
["rarq'ible", 19]
['ʡusen', 19]
["wač'ible", 18]
["ruk'le", 18]
["birq'le", 18]
["barq'ib", 18]
['maħmad', 18]
["rucːiq'ar", 18]
['datːila', 18]
['ucːe', 18]
['cili', 17]
['χːʷala', 17]
['cunze', 17]
["šik'al", 17]
['itra', 17]
['sadaħ', 17]
['darq', 17]
['ʡare', 17]
['cun', 17]
['iltːe', 17]
