["hic'ile", 10402]
["k'ʷar", 9810]
['ible', 4956]
['e', 4505]
['ce', 3822]
['a', 3354]
['ca', 3337]
['laˤ', 3200]
['cara', 2951]
['i', 2943]
['dila', 2921]
['du', 2886]
['taˤ', 2708]
['bude', 2546]
['it', 2499]
['na', 2487]
['de', 2339]
['laˤtːe', 2166]
['cinna', 1978]
['da', 1975]
['ze', 1895]
["cik'al", 1874]
['nixːala', 1619]
['nu', 1591]
['burχe', 1534]
['itːe', 1421]
['bu', 1380]
['dude', 1372]
['helize', 1316]
['gale', 1290]
['helitːe', 1289]
['dicːe', 1287]
['ej', 1286]
['xade', 1275]
['ude', 1262]
['χaˤma', 1229]
['dami', 1225]
['durχe', 1223]
['jaˤ', 1190]
['agurre', 1188]
['aχːara', 1174]
['ibda', 1141]
['rude', 1127]
['čula', 1121]
['χaˤ', 1119]
['nusːa', 1119]
['butun', 1083]
['waˤde', 1074]
['hana', 1068]
['taˤma', 1061]
['hejtːe', 1035]
['taˤtːe', 1027]
['u', 1011]
['nisːala', 996]
["barq'ible", 980]
["č'ʷal", 965]
['itila', 962]
['rusːe', 957]
['ja', 930]
['aˤtːi', 923]
['aˤla', 922]
['musːa', 899]
['ite', 895]
['kala', 876]
['jaˤma', 876]
['dusː', 857]
['zi', 821]
["k'aˤma", 816]
['ča', 815]
['agurda', 809]
['šːa', 808]
["urč'ili", 793]
['burχuble', 791]
['halitːe', 768]
['ʡa̰bal', 765]
['kːuri', 761]
['šːicːe', 748]
["ba̰jk'aj", 738]
['datːe', 733]
['bursa', 728]
['halize', 723]
['akːu', 722]
['uže', 700]
['durč', 672]
['barq', 669]
["c'iq'ʷaj", 668]
['χːʷalaze', 668]
["k'aˤ", 665]
['hitːe', 664]
['urχuble', 641]
['baˤčːu', 621]
['bare', 608]
['iti', 606]
['dam', 601]
['uˤ', 575]
['macːa', 574]
['adme', 570]
['qarri', 544]
["nik'aze", 541]
['buχuble', 529]
['babaj', 522]
['babajla', 521]
['hararka', 519]
['itsːaħ', 511]
["darq'ible", 508]
['ištːe', 505]
['buχub', 498]
['značit', 497]
['χaˤtːe', 491]
['itːu', 483]
['baˤkːu', 483]
['agur', 480]
['hira', 478]
['huja', 478]
['aˤcːe', 476]
['dučːe', 474]
['zil', 474]
['insane', 474]
