['са', 98]
['зун', 52]
['ва', 45]
['вун', 42]
['ме', 41]
['лагьана', 40]
['учин', 39]
['хьуни', 36]
['ми', 35]
['акьай', 33]
['пуна', 31]
['мис', 28]
['э', 27]
['вей', 26]
['акьас', 25]
['и', 25]
['вас', 24]
['а', 23]
['къари', 23]
['ахiа', 22]
['акьуни', 21]
['хьана', 20]
['аждагьа', 20]
['руш', 20]
['ве', 19]
['акьуна', 19]
['я', 19]
['хабар', 18]
['амма', 18]
['але', 18]
['вичин', 17]
['гьеме', 17]
['зе', 16]
['уч', 16]
['хандин', 16]
['мин', 15]
['зас', 15]
['семед', 14]
['ам', 13]
['къужайи', 13]
['учис', 13]
['шагьурди', 13]
['атана', 12]
['рустама', 12]
['тур', 12]
['агъай', 12]
['фена', 11]
['ада', 11]
['пачагьдин', 11]
['ери', 11]
['кiил', 11]
['жин', 11]
['хала', 11]
['хьирди', 11]
['гьете', 11]
['семеда', 11]
['гьарай', 10]
['хьуна', 10]
['эхiмад', 10]
['ае', 10]
['хав', 10]
['жигьил', 10]
['фикир', 10]
['хiуч', 9]
['рустам', 9]
['кьуна', 9]
['буба', 9]
['рустамаз', 9]
['чу', 9]
['хилди', 9]
['каван', 9]
['гьаргугай', 8]
['агъ', 8]
['гьал', 8]
['къужа', 8]
['ай', 8]
['як', 8]
['геда', 8]
['аждагьайи', 8]
['кiили', 8]
['хас', 8]
['iеламатин', 8]
['хьасе', 8]
['пара', 8]
['къарин', 8]
['чаркв', 7]
['чiулучiумай', 7]
['аял', 7]
['вуч', 7]
['чiехи', 7]
['бубади', 7]
['гана', 7]
['кьил', 7]
['кьена', 7]
['фида', 7]
['бицiи', 7]
['ягъа', 7]
['хiуьяг', 7]
['ке', 7]
['пуни', 7]
['ччуччу', 7]
['агвай', 7]
['адава', 7]
['ицiай', 7]
['кар', 7]
['кьаст', 7]
['эхтилат', 7]
['мевур', 7]
['кавани', 7]
['ахiар', 7]
['суьхiуьрчи', 7]
['1', 6]
['хъай', 6]
['2', 6]
['дахьичин', 6]
['3', 6]
['4', 6]
['итим', 6]
['юкъуз', 6]
['адан', 6]
['пачагьди', 6]
['тир', 6]
['зала', 6]
['ида', 6]
['кiвализ', 6]
['хтана', 6]
['абур', 6]
['бубадин', 6]
['ваъ', 6]
['пачагьдиз', 6]
['яшамиш', 6]
['уй', 6]
['гiурча', 6]
['чуварис', 6]
['ччуччус', 6]
['жуваб', 6]
['чувар', 6]
['iайи', 6]
['гъушай', 6]
['хьу', 6]
['ина', 6]
['эхiмада', 6]
['акьасе', 6]
['дава', 6]
['агвая', 6]
['ичин', 6]
['гин', 6]
['те', 6]
['багами', 6]
['хьуф', 6]
['iае', 6]
['гъавурди', 6]
['хи', 6]
['фас', 6]
['гьеге', 5]
['5', 5]
['6', 5]
['агуф', 5]
['туфанг', 5]
['миса', 5]
['шуй', 5]
['хьас', 5]
['ушуна', 5]
['зал', 5]
['им', 5]
['дев', 5]
['ви', 5]
['гила', 5]
['вавай', 5]
['галаз', 5]
['зи', 5]
['идаз', 5]
['агь', 5]
['девдин', 5]
['вири', 5]
['балкiан', 5]
['герек', 5]
['элкъвена', 5]
['учил', 5]
['яiуна', 5]
['гiае', 5]
['сад', 5]
['фи', 5]
['магьа', 5]
['рукьай', 5]
['рахiу', 5]
['вере', 5]
['хьед', 5]
['шагьурдин', 5]
['гучi', 5]
['къутурфай', 5]
['шав', 5]
['эгера', 5]
['чiукь', 5]
['сул', 5]
['хьибу', 4]
['адайхьайчин', 4]
['вунна', 4]
['чарквара', 4]
['ъiутiанасе', 4]
['ушунайа', 4]
['хуппай', 4]
['тиса', 4]
