['буго', 638]
['цо', 464]
['вуго', 299]
['абун', 282]
['гьеб', 281]
['абунила', 272]
['илан', 234]
['ян', 211]
['дун', 183]
['чи', 179]
['жо', 174]
['вас', 173]
['мун', 169]
['мехалъ', 160]
['ва', 147]
['руго', 147]
['гьев', 137]
['щиб', 133]
['дир', 133]
['йиго', 133]
['гьанже', 129]
['яс', 121]
['ханасул', 119]
['дица', 115]
['гьабун', 113]
['гьаб', 108]
['тiаде', 108]
['йилан', 106]
['бугеб', 104]
['ун', 102]
['васас', 102]
['цiакъ', 98]
['анила', 94]
['вукiанила', 90]
['жиндирго', 90]
['гьел', 90]
['тiад', 88]
['гьесда', 88]
['дуца', 86]
['букiун', 86]
['гьей', 84]
['гьес', 84]
['ккун', 82]
['гьикъанила', 80]
['гьечiо', 80]
['вукiун', 79]
['ханас', 79]
['къоялъ', 78]
['гьав', 78]
['бугила', 74]
['вилълъанила', 73]
['босун', 73]
['тун', 72]
['букiанила', 71]
['дур', 70]
['кьун', 69]
['кьунила', 66]
['дида', 65]
['гьелъ', 65]
['2', 64]
['1', 64]
['чу', 64]
['гiадин', 61]
['гьелда', 61]
['щванила', 61]
['нахъе', 61]
['гьабизе', 61]
['цадахъ', 60]
['лъугьанила', 59]
['гьабунила', 59]
['ан', 59]
['дуе', 58]
['цебе', 58]
['лъун', 58]
['ясалъ', 57]
['дуда', 56]
['рехун', 55]
['рокъове', 55]
['хан', 55]
['бахъун', 54]
['хадуб', 53]
['кiудияб', 53]
['кканила', 53]
['амма', 53]
['3', 52]
['кiиго', 52]
['ясги', 51]
['ав', 51]
['бакiалда', 51]
['лъабго', 51]
['ас', 50]
['лъикi', 49]
['дие', 49]
['жаваб', 49]
['гьал', 48]
['абулеб', 48]
['данде', 46]
['лъугьун', 45]
['васги', 45]
['гьесул', 45]
['хадув', 44]
['чiун', 44]
['вац', 44]
['эбелалъ', 43]
['4', 43]
['кинабго', 43]
['кiудияв', 43]
['гьас', 42]
['нахъеги', 42]
['унев', 42]
['щай', 41]
['бачiанила', 41]
['рукiун', 41]
['чiанила', 40]
['гьабулеб', 40]
['бицанила', 39]
['заманалдасан', 39]
['я', 39]
['васасда', 39]
['чiван', 38]
['гьелъул', 38]
['гiарац', 38]
['5', 37]
['рукiанила', 37]
['вахъун', 37]
['лъикiаб', 36]
['вугев', 36]
['чiужу', 36]
['щвараб', 36]
['нартав', 36]
['гьедин', 35]
['щун', 35]
['вачун', 35]
['гiадамал', 35]
['букiараб', 35]
['чияс', 35]
['лъим', 35]
['къаси', 34]
['гьай', 34]
['бан', 34]
['радал', 34]
['гурони', 33]
['танила', 33]
['ахiанила', 33]
['гьезул', 33]
['вачiун', 32]
['къватiиве', 32]
['гьелдаса', 32]
['бищун', 32]
['ине', 32]
['исмагiил', 32]
['дурго', 31]
['бакi', 31]
['вачiанила', 31]
['6', 31]
['ракiалде', 31]
['бакiалде', 31]
['кьезе', 31]
['цилгiиница', 30]
['асда', 30]
['щибго', 30]
['йикiун', 30]
['цинги', 30]
['нухалъ', 30]
['хутiун', 30]
['васасул', 30]
['киналго', 30]
['гьесие', 29]
['ал', 29]
['чуги', 29]
['вукiарав', 29]
['гьезда', 29]
['хъарт', 28]
['абуни', 28]
['цеве', 27]
['щив', 27]
['гьасда', 27]
['дагьаб', 27]
['гьез', 27]
['бетiер', 27]
['гiемераб', 27]
['ханасда', 27]
['чiилбикiица', 27]
['цилгiин', 26]
['кiанцiун', 26]
['пачахiас', 26]
['7', 26]
['вачiунев', 26]
['босизе', 26]
['жоги', 26]
['биччан', 26]
['рилълъанила', 26]
['эбел', 26]
['ясалда', 26]
['гъоркье', 26]
['нартас', 26]
['бер', 26]
['мехалда', 26]
['гiадан', 26]
['нахъ', 25]
['бачiун', 25]
['кин', 25]
['гiодов', 25]
['хутiанила', 25]
['алъ', 25]
['балагьун', 25]
['кiудияй', 25]
['къватiибе', 24]
['гьебги', 24]
['валагьун', 24]
['рекiун', 24]
['нухда', 24]
['ругила', 24]
['нахъа', 24]
['гiемер', 24]
['ккараб', 24]
['цiеханила', 24]
['вацал', 24]
['цояб', 24]
['меседил', 24]
['кигiан', 24]
['исмагiилица', 24]
['росулъ', 24]
['чiилбикi', 24]
['8', 23]
['жаниб', 23]
['сверун', 23]
['тiаса', 23]
['херай', 23]
['сордоялъ', 23]
['гьитiинав', 23]
['сулайман', 23]
['росулъе', 23]
['гьениб', 22]
['а', 22]
['кьела', 22]
['9', 22]
['цiакъго', 22]
['чiор', 22]
['ячун', 22]
['хъахiаб', 22]
['ясалъул', 22]
['аскiове', 22]
['абураб', 22]
['васасе', 22]
['инсул', 21]
['квер', 21]
['жаниве', 21]
['жиндир', 21]
['лъунила', 21]
['лъабавго', 21]
['араб', 21]
['гьарун', 21]
['битiун', 21]
['чода', 21]
['чан', 21]
['сон', 21]
['унеб', 21]
['яцалъ', 21]
['речiчiун', 21]
['сулайманица', 21]
['бечедав', 21]
['пачахiасул', 20]
['хун', 20]
['хъамун', 20]
['гьалъ', 20]
['доб', 20]
['кье', 20]
['ахiданила', 20]
['балагьанила', 20]
['хiинкъун', 20]
['хъартица', 20]
['рагiалда', 20]
['кiиябго', 20]
['гуро', 20]
['чiегiераб', 20]
['нух', 20]
['гiадаб', 20]
['жиндиего', 20]
['эмен', 20]
['ретiел', 20]
['гъоркь', 20]
['нартасул', 20]
['къоролалъул', 20]
['жал', 20]
['кьолеб', 20]
['гьадаб', 20]
['бихьун', 20]
['заманалда', 19]
['чiезе', 19]
['гьабураб', 19]
['нижер', 19]
['10', 19]
['гьоркьоб', 19]
['цiа', 19]
['жеги', 19]
['дунги', 19]
['расги', 19]
['къотiун', 19]
['инсуца', 19]
['чоца', 19]
['кьеян', 19]
['анкьго', 19]
['чiужуги', 19]
['гьевги', 19]
['хiукму', 19]
['бокьун', 19]
['салам', 19]
['янги', 19]
['пачахi', 18]
['берцинай', 18]
['къо', 18]
['гьасул', 18]
['хiалтiи', 18]
['чиясда', 18]
['чиясе', 18]
['гьабе', 18]
['бачун', 18]
['вугила', 18]
['банила', 18]
['хабар', 18]
['кколеб', 18]
['батанила', 18]
['цiураб', 18]
['рукъ', 18]
['нуж', 18]
['гуреб', 18]
['рокъоре', 18]
['абизе', 18]
['ракi', 18]
['батун', 18]
['уней', 18]
['гiалхул', 18]
['муин', 18]
['гьавун', 17]
['цо-цо', 17]
['дунял', 17]
['ургъел', 17]
['кутакалда', 17]
['цоги', 17]
['кiиявго', 17]
['гьан', 17]
['рачун', 17]
['цин', 17]
['живго', 17]
['анцiила', 17]
['йикiанила', 17]
['къан', 17]
['гъов', 17]
['реханила', 17]
['кваназе', 17]
['кiиялго', 17]
['яц', 17]
['рос', 17]
['гьорол', 17]
['чiужуялъ', 17]
['ккола', 17]
['базаралде', 17]
['тiилал', 17]
['гьикъун', 17]
['бачiунеб', 16]
['речiчiанила', 16]
['жанибе', 16]
['босанила', 16]
['вахъанила', 16]
['вугин', 16]
['вачiа', 16]
['ханасухъе', 16]
['гьениса', 16]
['тiагiун', 16]
['аздагьо', 16]
['гiала', 16]
['гьудул', 16]
['тiун', 16]
['вачiарав', 16]
['вацаз', 16]
['ана', 16]
['бицун', 16]
['кидаго', 16]
['гiодобе', 16]
['жидерго', 16]
['букiинчiила', 16]
['кьураб', 16]
['росдал', 16]
['рахъухъирщ', 16]
['щибаб', 15]
['ци', 15]
['кiанцiанила', 15]
['заман', 15]
['эбелалда', 15]
['чагiи', 15]
['бугониги', 15]
['хiинкъанила', 15]
['11', 15]
['бахъараб', 15]
['бицине', 15]
['квен', 15]
['лъабабилеб', 15]
['рокъобе', 15]
['рукъалъул', 15]
['чiвазе', 15]
['эхеде', 15]
['кiудиял', 15]
['кьабунила', 15]
['вацазда', 15]
['чиги', 15]
['нилъер', 15]
['гьадин', 15]
['жиндие', 15]
['ругел', 15]
['унаго', 15]
['ичiго', 15]
['букiана', 15]
['хвасар', 15]
['бугилан', 15]
['рагiун', 15]
['жив', 15]
['гьобол', 15]
['бегавулас', 15]
['чумарт', 15]
['лъачiого', 14]
['шагьаралде', 14]
['лъазабунила', 14]
['мегiер', 14]
['хъартил', 14]
['рокъое', 14]
['бихьизе', 14]
['гьалда', 14]
['оц', 14]
['нилъеца', 14]
['хоно', 14]
['лъалеб', 14]
['вере', 14]
['ле', 14]
['ясал', 14]
['рухi', 14]
['гьитiинай', 14]
['чуял', 14]
['азда', 14]
['тiамун', 14]
['гамачi', 14]
['вилълъун', 14]
['валагьанила', 14]
['рачiун', 14]
['гьаракь', 14]
['базе', 14]
['рахъун', 14]
['унел', 14]
['гьоболас', 14]
['гiадамасул', 13]
['чиясул', 13]
['ячине', 13]
['босе', 13]
['къватiие', 13]
['ма', 13]
['магiарде', 13]
['цiезабун', 13]
['лъутун', 13]
['гiодой', 13]
['кьижун', 13]
['аздагьоялъ', 13]
['ахiун', 13]
['ай', 13]
['тiасан', 13]
['цiун', 13]
['мех', 13]
['бихьанила', 13]
['ралъдал', 13]
['ватанила', 13]
['ниж', 13]
['ячiун', 13]
['вахун', 13]
['гьадинаб', 13]
['витiун', 13]
['гьасие', 13]
['муиница', 13]
['эбелги', 13]
['хiама', 13]
['росулъа', 13]
['векьарухъан', 13]
['чанахъан', 13]
['кисан', 12]
['квенги', 12]
['рокъоса', 12]
['авги', 12]
['бокьараб', 12]
['валлагь', 12]
['гiоло', 12]
['12', 12]
['тiадеги', 12]
['13', 12]
['лъугьараб', 12]
['лъураб', 12]
['бох', 12]
['дуниял', 12]
['тiурун', 12]
['киса', 12]
['цере', 12]
['рагiалде', 12]
['йигила', 12]
['гiарацги', 12]
['яхъун', 12]
['лъанила', 12]
['гьунар', 12]
['гьечiого', 12]
['сордо', 12]
['рас', 12]
['сида', 12]
['хехго', 12]
['щвезегiан', 12]
['жакъа', 12]
['кодобе', 12]
['гьаризе', 12]
['гьенив', 12]
['ретiелги', 12]
['эбелалъул', 12]
['хадуй', 12]
['гiумру', 12]
['дов', 12]
['цояс', 12]
['лъала', 12]
['аскiоб', 12]
['гiакълу', 12]
['цiар', 12]
['къватiире', 12]
['батiияб', 12]
['цiехолеб', 12]
['хъизан', 12]
['ахирги', 12]
['щибниги', 12]
['гiагарав', 12]
['кванан', 11]
['бараб', 11]
['дагьав', 11]
['цiул', 11]
['гiураб', 11]
['ургъанила', 11]
['гьанив', 11]
['иланги', 11]
['гьечiила', 11]
['вуссун', 11]
['гьарданила', 11]
['гьагъаб', 11]
['балеб', 11]
['те', 11]
['14', 11]
['гiодоб', 11]
['хiалалда', 11]
['рагiула', 11]
['аз', 11]
['эв', 11]
['тiокiаб', 11]
['добго', 11]
['хвезе', 11]
['нужер', 11]
['гьелги', 11]
['мурад', 11]
['гьедигiан', 11]
['рагiи', 11]
['лъабцiул', 11]
['кiвечiила', 11]
['гьитiинас', 11]
['рокъов', 11]
['дой', 11]
['вацас', 11]
['йигилан', 11]
['гьанжеги', 11]
['хадур', 11]
['хiули', 11]
['херас', 11]
['вукiинчiила', 11]
['бакъ', 11]
['чiванила', 11]
['анкьавго', 11]
['кьабун', 11]
['гъоб', 11]
['кiикъоялда', 11]
['анцiго', 11]
['квербацiцi', 11]
['эменги', 11]
['гьесухъе', 11]
['вукiана', 11]
['цiехон', 11]
['гiадамазда', 11]
['гьечiев', 11]
['гiадамаз', 11]
['гьа', 11]
['бищунго', 11]
['тiагъур', 11]
['чумартица', 11]
['бугев', 10]
['барав', 10]
['нилъ', 10]
['рагiанила', 10]
['гьаниве', 10]
['дидаса', 10]
['нусго', 10]
['къваригiун', 10]
['дихъе', 10]
['гъветi', 10]
['витiанила', 10]
['хъартги', 10]
['пачахiасухъе', 10]
['гьабилеб', 10]
['щвезе', 10]
['15', 10]
['бакьулъ', 10]
['гьанги', 10]
['кiиабилеб', 10]
['гiужалъ', 10]
['дол', 10]
['бортун', 10]
