['сай', 989]
['саби', 710]
['сари', 541]
['ил', 422]
['ва', 368]
['ца', 297]
['или', 269]
['дила', 233]
['сунела', 174]
['рурси', 170]
['викiули', 164]
['саб', 143]
['ну', 143]
['хьунул', 142]
['илди', 137]
['нуни', 132]
['хiу', 132]
['хiела', 126]
['хъули', 118]
['се', 114]
['илини', 106]
['бикiули', 99]
['хiуни', 84]
['замана', 82]
['биалли', 81]
['наб', 80]
['рикiули', 80]
['сайра', 77]
['илала', 76]
['ахiен', 73]
['сав', 72]
['хiед', 72]
['1', 71]
['2', 71]
['урши', 71]
['дурхiя', 69]
['иш', 66]
['3', 64]
['халаси', 63]
['илхiели', 62]
['бархiи', 61]
['чула', 58]
['буили', 57]
['илис', 57]
['амма', 56]
['гьала', 56]
['адам', 56]
['бурили', 54]
['дархiа', 54]
['узи', 51]
['арц', 51]
['4', 50]
['гiергъи', 50]
['сен', 50]
['иб', 49]
['гiур', 49]
['секiал', 47]
['касили', 46]
['талхъа', 45]
['мурул', 45]
['хьарбаили', 44]
['дебали', 44]
['кiелра', 44]
['гьанна', 42]
['цай', 42]
['хабар', 41]
['5', 41]
['сади', 41]
['гiурра', 41]
['ит', 41]
['урчи', 41]
['неш', 41]
['талхъан', 39]
['дудеш', 39]
['нушала', 38]
['хъа', 38]
['хiябал', 37]
['6', 37]
['илизи', 37]
['талхъай', 37]
['гьалаб', 36]
['барили', 36]
['хьунуй', 36]
['са', 35]
['арякьи', 35]
['рурсили', 35]
['лерилра', 34]
['бедили', 34]
['лебилра', 34]
['илдала', 33]
['бужибле', 32]
['нуша', 32]
['бецi', 32]
['хiера', 32]
['дахъал', 32]
['селра', 32]
['аждагьа', 32]
['нура', 31]
['икiуле', 31]
['сунес', 30]
['уили', 30]
['мискин', 30]
['лебли', 29]
['гьари', 29]
['хъу', 29]
['валлагь', 29]
['илкьяйда', 29]
['хъайгiи', 29]
['7', 29]
['вегi', 29]
['шери', 29]
['илдани', 28]
['бакiили', 28]
['иличи', 28]
['я', 28]
