['да', 1311]
['деп', 1030]
['бир', 933]
['дей', 779]
['де', 701]
['мен', 378]
['бу', 364]
['болгъан', 361]
['булан', 302]
['алып', 293]
['сен', 282]
['къыз', 260]
['не', 255]
['сонг', 244]
['къатын', 242]
['шо', 240]
['буса', 220]
['мени', 206]
['ва', 197]
['болуп', 188]
['бар', 186]
['айта', 184]
['ону', 183]
['барып', 168]
['туруп', 165]
['дагъы', 160]
['гете', 152]
['хан', 150]
['ол', 147]
['бола', 146]
['гюн', 146]
['гелип', 141]
['улан', 138]
['тюлкю', 136]
['бёрю', 136]
['этип', 133]
['шу', 130]
['бек', 128]
['ёкъ', 127]
['сорай', 126]
['булар', 125]
['геле', 124]
['къызны', 123]
['гьали', 121]
['сени', 117]
['зат', 115]
['эки', 115]
['уллу', 114]
['салып', 112]
['тура', 111]
['чыгъып', 109]
['сагъа', 107]
['къала', 106]
['биз', 97]
['гече', 97]
['муну', 97]
['о', 95]
['кёп', 95]
['къараса', 93]
['кюлбай', 93]
['оьзю', 90]
['йибере', 90]
['шону', 88]
['адам', 88]
['яхшы', 87]
['энем', 87]
['гёрюп', 86]
['эди', 85]
['арив', 85]
['1', 82]
['бара', 82]
['2', 79]
['бере', 77]
['уьюне', 76]
['эдим', 75]
['нечик', 75]
['тек', 75]
['къарай', 75]
['магъа', 73]
['уьстюне', 70]
['берип', 70]
['оьзюню', 70]
['гьар', 69]
['алтын', 68]
['гирип', 68]
['воллагь', 67]
['ашап', 67]
['ханны', 67]
['бизин', 66]
['аманат', 66]
['3', 65]
['юрюй', 65]
['уьйге', 65]
['турагъан', 63]
['уьч', 63]
['огъар', 63]
['экен', 62]
['гиши', 62]
['ибрагьим', 62]
['къатыны', 61]
['олар', 61]
['булай', 61]
['йимик', 60]
['къарт', 59]
['чи', 59]
['яш', 59]
['ат', 58]
['ягъына', 58]
['чыгъа', 58]
['тамаза', 58]
['багъып', 57]
['гетип', 57]
['ерге', 57]
['эте', 55]
['4', 55]
['баягъы', 55]
['башлай', 55]
['гьей', 55]
['сув', 55]
['гёре', 55]
['къычыра', 54]
['заман', 54]
['къара', 54]
['чы', 54]
['эри', 54]
['тутуп', 53]
['тез', 53]
['деген', 52]
['эртен', 51]
['болмай', 50]
['къайда', 50]
['5', 49]
['къарап', 49]
['неге', 49]
['къайтып', 49]
['буланы', 48]
['къоя', 48]
['тюшюп', 47]
['сиз', 46]
['тюгюл', 46]
['ерде', 45]
['гел', 45]
['аюв', 44]
['ёлгъа', 44]
['анасы', 44]
['минип', 44]
['бары', 44]
['6', 43]
['тамаша', 43]
['адамлар', 43]
['къатынны', 43]
['гелген', 42]
['гетген', 42]
['кюйде', 42]
['учун', 42]
['ишни', 41]
['бугъар', 41]
['бираз', 41]
['этме', 41]
['къади', 41]
['ким', 40]
['гире', 40]
['7', 40]
['шолай', 40]
['мишик', 40]
['тюше', 40]
['шулай', 40]
['жамав', 40]
['терекни', 39]
['алдына', 39]
['я', 38]
['ичине', 38]
['ятып', 38]
['эшикни', 38]
['айтып', 37]
['атасы', 37]
['йылан', 37]
['агъалары', 37]
['къызлар', 37]
['хангъа', 36]
['жавап', 36]
['таба', 36]
['болмагъан', 36]
['башгъа', 36]
['олтуруп', 36]
['уьйде', 36]
['гьеч', 36]
['затны', 36]
['къалгъан', 35]
['8', 35]
['шонда', 35]
['ахшам', 35]
['тюбюнде', 35]
['ибрагьимни', 35]
['къой', 34]
['эт', 34]
['аждагьа', 34]
['бизге', 33]
['ичинде', 33]
['керен', 33]
['аш', 33]
['бирден', 33]
['атылып', 33]
['башын', 33]
['чыгъарып', 33]
['рази', 33]
['ашама', 32]
['бусанг', 32]
['янгыз', 32]
['токътай', 32]
['билмей', 32]
['ачып', 32]
['уланны', 32]
['байрамали', 32]
['9', 31]
['тилей', 31]
['олай', 31]
['сав', 31]
['эшек', 31]
['он', 31]
['бер', 31]
['айтгъан', 31]
['атны', 30]
['къачып', 30]
['къоюп', 30]
['чыкъгъан', 30]
['этген', 30]
['балам', 30]
['нече', 30]
['яхари', 29]
['сама', 29]
['гелеген', 29]
['болур', 29]
['сюе', 29]
['яман', 29]
['заманда', 29]
['ёл', 29]
['дев', 29]
['аскерхан', 29]
['яшны', 29]
['артындан', 28]
['бёрюню', 28]
['муна', 28]
['кагъызны', 28]
['къаршы', 28]
['акъ', 28]
['йыл', 28]
['бирев', 27]
['гезик', 27]
['мунда', 27]
['ала', 27]
['экинчи', 27]
['ювукъ', 27]
['артда', 27]
['арсланкъаплан', 27]
['ер', 27]
['тавну', 27]
['уланы', 27]
['уруп', 27]
['къызы', 27]
['энемни', 27]
['башмакъны', 27]
['бавта', 27]
['ач', 26]
['чабып', 26]
['хораз', 26]
['яшап', 26]
['амма', 26]
['эчки', 26]
['гишини', 26]
['эшик', 26]
['оьлтюрюп', 26]
['къызым', 26]
['къаракъул', 26]
['табулду', 26]
['булагъа', 25]
['ойлаша', 25]
['болсун', 25]
['къонакъ', 25]
['юртда', 25]
['от', 25]
['оьзюне', 25]
['элтип', 25]
['касип', 25]
['къайта', 24]
['къоркъуп', 24]
['10', 24]
['барагъан', 24]
['гиччи', 24]
['ченгертки', 24]
['сизге', 23]
['ай', 23]
['11', 23]
['чу', 23]
['ари', 23]
['оьзлени', 23]
['гелтирип', 23]
['къызгъа', 23]
['етти', 23]
['болган', 23]
['турагъанда', 22]
['тарыкъ', 22]
['ёлда', 22]
['етише', 22]
['болгъанда', 22]
['уьстюнде', 22]
['билип', 22]
['къаргъа', 22]
['лап', 22]
['сала', 22]
['етишип', 22]
['аманатны', 22]
['кюлбайны', 22]
['къыдыра', 21]
['янына', 21]
['шогъар', 21]
['ята', 21]
['табып', 21]
['замандан', 21]
['шондан', 21]
['сувгъа', 21]
['12', 21]
['гетелер', 21]
['анасына', 21]
['ондан', 21]
['сизин', 21]
['къозу', 21]
['этейим', 21]
['нечакъы', 21]
['къызын', 21]
['оланы', 21]
['тананы', 21]
['ташлап', 21]
['девлер', 21]
['вёре', 21]
['дербиш', 21]
['къырчын', 21]
['булангъы', 20]
['гётерип', 20]
['гёрген', 20]
['юртгъа', 20]
['13', 20]
['алдында', 20]
['ура', 20]
['ташлай', 20]
['ёлугъа', 20]
['хари', 20]
['анам', 20]
['ачувланып', 20]
['адамны', 20]
['баргъанда', 20]
['къатынгъа', 20]
['чакъырып', 20]
['патимат', 20]
['бирдагъы', 19]
['олтура', 19]
['яшлар', 19]
['терекге', 19]
['болду', 19]
['тюз', 19]
['сююнюп', 19]
['къыдырып', 19]
['юрюп', 19]
['онда', 19]
['дейлер', 19]
['жин', 19]
['старшина', 19]
['бай', 19]
['14', 18]
['иш', 18]
['излей', 18]
['арадан', 18]
['тапмай', 18]
['эдинг', 18]
['базаргъа', 18]
['недир', 18]
['тур', 18]
['тавуш', 18]
['къалалар', 18]
['хабар', 18]
['болажакъ', 18]
['байлап', 18]
['тав', 18]
['пашман', 18]
['умар', 18]
['къабан', 17]
['аша', 17]
['ягъында', 17]
['гёрюне', 17]
['башына', 17]
['айт', 17]
['мундан', 17]
['бийик', 17]
['оьзюнг', 17]
['оьлюп', 17]
['аты', 17]
['ерни', 17]
['тогъуз', 17]
['гелсе', 17]
['шоланы', 17]
['барагъанда', 17]
['гьавгъа', 17]
['инсан', 17]
['алма', 17]
['эркек', 17]
['йылай', 17]
['вазир', 17]
['эрим', 17]
['гелин', 17]
['гёк', 17]
['дорбаны', 16]
['тапгъан', 16]
['ашай', 16]
['бирче', 16]
['болгъанлар', 16]
['салгъан', 16]
['къоймай', 16]
['бавгъа', 16]
['уьйню', 16]
['тангала', 16]
['яда', 16]
['учуп', 16]
['оьзен', 16]
['кюй', 16]
['бираздан', 16]
['къыргъа', 16]
['отбаш', 16]
['алмагъа', 16]
['къалагъа', 16]
['15', 16]
['берген', 16]
['бал', 16]
['таш', 16]
['бичакъны', 16]
['бичакъ', 16]
['ёлавчу', 16]
['битген', 15]
['эсги', 15]
['тюш', 15]
['чакъы', 15]
['ашамагъа', 15]
['юртдан', 15]
['молла', 15]
['йиберип', 15]
['ягъада', 15]
['йиберелер', 15]
['мине', 15]
['аллагь', 15]
['къайдан', 15]
['айлана', 15]
['боламан', 15]
['толтуруп', 15]
['бараман', 15]
['арты', 15]
['сабанчы', 15]
['кёмек', 15]
['шуну', 15]
['къатынына', 15]
['союп', 15]
['беш', 15]
['айталар', 15]
['16', 15]
['къыркъ', 15]
['барма', 15]
['йыланхан', 15]
['халкъ', 15]
['терек', 15]
['туварчы', 15]
['токъай', 15]
['унанай', 15]
['экмек', 14]
['къарайым', 14]
['экмекни', 14]
['ерине', 14]
['есси', 14]
['гелгенде', 14]
['къача', 14]
['биле', 14]
['тураман', 14]
['эшекни', 14]
['йиберген', 14]
['затдыр', 14]
['бармы', 14]
['уланлар', 14]
['эгер', 14]
['бол', 14]
['гюнден', 14]
['миндирип', 14]
['айтагъан', 14]
['атгъа', 14]
['кагъыз', 14]
['къызланы', 14]
['сари', 14]
['олтургъан', 14]
['шайтан', 14]
['пеймаханым', 14]
['нартлар', 14]
['ярай', 13]
['юрюйлер', 13]
['тюбюне', 13]
['айланып', 13]
['шунда', 13]
['башлап', 13]
['ичинден', 13]
['сенден', 13]
['оьле', 13]
['хабарны', 13]
['айтмай', 13]
['гелме', 13]
['токътагъан', 13]
['алгъан', 13]
['якъгъа', 13]
