['бур', 1623]
['куну', 745]
['ур', 583]
['дур', 568]
['га', 385]
['ца', 383]
['ва', 337]
['бивкiун', 295]
['хьуну', 266]
['бувну', 262]
['ина', 226]
['на', 213]
['тiий', 209]
['ивкiун', 201]
['яла', 172]
['лавгун', 164]
['дурну', 141]
['цала', 137]
['душ', 132]
['диркiун', 131]
['ттул', 128]
['му', 118]
['ганил', 110]
['ци', 108]
['чiумал', 99]
['най', 99]
['хъинну', 96]
['ганал', 96]
['гай', 95]
['паччахiнал', 94]
['щарсса', 89]
['цiувххуну', 80]
['цила', 79]
['оьрчi', 76]
['вин', 75]
['ттун', 73]
['оьрчiал', 73]
['хъирив', 72]
['душнил', 72]
['ххал', 69]
['вил', 68]
['кьини', 66]
['ларсун', 64]
['увкуну', 61]
['гьарца', 61]
['амма', 60]
['ханнал', 57]
['бан', 56]
['увну', 56]
['зана', 56]
['щарссанил', 56]
['агар', 54]
['гьан', 54]
['ххуйсса', 52]
['арс', 52]
['лавсун', 51]
['бусса', 50]
['цал', 49]
['буллай', 48]
['1', 47]
['шавай', 47]
['2', 46]
['бакъа', 45]
['вай', 45]
['дуллуну', 44]
['къавхьуну', 43]
['утти', 43]
['ккаккан', 43]
['бивзун', 42]
['увкiун', 41]
['кiисса', 41]
['махъ', 40]
['ганан', 40]
['буллуну', 40]
['ниттил', 40]
['бувккун', 39]
['циняв', 39]
['за', 39]
['кiяла', 39]
['хъунмасса', 38]
['3', 38]
['дуллай', 38]
['хъанай', 38]
['ппал', 38]
['тiун', 37]
['бувкiун', 37]
['хьхьичi', 36]
['амру', 36]
['дирхьуну', 36]
['бувцуну', 36]
['мув', 35]
['мусил', 35]
['я', 34]
['4', 34]
['бакi', 34]
['вила', 34]
['буллан', 34]
['ларгун', 34]
['бувсун', 34]
['та', 33]
['ччан', 32]
['утту', 32]
['буккан', 32]
['дан', 32]
['уссал', 32]
['тiисса', 31]
['укун', 31]
['бивну', 31]
['дурккун', 31]
['нину', 31]
['багьну', 30]
['ганин', 30]
['къатлувун', 30]
['гьаз', 30]
['банна', 30]
['шаппай', 30]
['увккун', 30]
['цаппара', 30]
['даву', 29]
['мукун', 29]
['дусса', 29]
['ялагу', 29]
['нигьа', 29]
['зу', 29]
['ба', 29]
['къатта', 29]
['хъинни', 28]
['бавчуну', 28]
['дукра', 28]
['тiайла', 28]
['уча', 28]
['ххассал', 28]
['щар', 28]
['унсукь', 28]
['усттарнал', 28]
['дяркъун', 28]
['цукун', 27]
['ччай', 27]
['рязий', 27]
['ванал', 27]
['ура', 27]
['арцу', 27]
['щин', 27]
['5', 26]
['гайннал', 26]
['цiана', 26]
['пикри', 26]
['янна', 26]
['буртти', 26]
['къатлул', 26]
['аман', 26]
['6', 25]
['ялун', 25]
['инсан', 25]
['ххари', 25]
['ххуллу', 25]
['ларсуну', 24]
['ита', 24]
['бивхьуну', 24]
['увххун', 24]
['кiюрххил', 24]
['паччахi', 24]
['ялапар', 24]
['хiадур', 24]
['унсукьлул', 24]
['агьну', 24]
['куццуй', 24]
['цува', 24]
['мискин', 24]
['чу', 23]
['хьусса', 23]
['гъан', 23]
['бувсса', 23]
['щя', 23]
['ливхъун', 23]
['яннагу', 23]
['ппу', 23]
['ккупiаснал', 23]
['цулчiа', 22]
['гания', 22]
['иш', 22]
['къари', 22]
['цанма', 22]
['авчуну', 22]
['чассажил', 22]
['бура', 21]
['буссар', 21]
['щала', 21]
['оьрчiан', 21]
['оьвкуну', 21]
['чiарав', 21]
['7', 21]
['хъанан', 21]
['къарил', 21]
['ччар', 21]
['варани', 20]
['дурсса', 20]
['гава', 20]
['бувсуну', 20]
['ивзун', 20]
['тiурча', 20]
['чугу', 20]
['махiаттал', 20]
['була', 20]
['мий', 20]
['цичiав', 20]
['къатлуву', 20]
['цулкiлул', 19]
['ми', 19]
['дакъа', 19]
['оьрчiру', 19]
['бавкьуну', 19]
['бивщуну', 19]
['экьи', 19]
['шайхту', 19]
['дуллан', 19]
['бувтун', 19]
['майбакъул', 19]
['уна', 19]
['хъин', 19]
['9', 18]
['хьуна', 18]
['къуртал', 18]
['8', 18]
['дучрал', 18]
['буттал', 18]
['усттар', 18]
['ххюра', 18]
['мусил-мухiад', 18]
['мискиннал', 18]
['11', 17]
['къаивкiун', 17]
['хъунама', 17]
['хiал', 17]
['чантi', 17]
['ккавккун', 17]
['хьун', 17]
['къабивкiун', 17]
['буна', 17]
['кiул', 17]
['вев', 17]
['ванил', 17]
['гуж', 17]
['дуркiун', 17]
['чай', 17]
['бакъар', 17]
['мунал', 17]
['душнин', 17]
['дагьну', 17]
['зун', 17]
['ивну', 17]
['дуркуну', 17]
['цанна', 17]
['вана', 17]
['куна', 17]
['неххал', 17]
['мурчал', 17]
['гьарахъалу', 17]
['насу', 16]
['ливчiун', 16]
['цучiав', 16]
['ххуллийх', 16]
['лявкъуну', 16]
['циван', 16]
['нагу', 16]
['дикi', 16]
['инсаннал', 16]
['цуппа', 16]
['мунихлуну', 16]
['кiилчинмур', 16]
['аькьлу', 16]
['кiа', 16]
['кiанай', 16]
['кiура', 16]
['хъамалу', 16]
['хъунисса', 16]
['да', 16]
['зуманив', 16]
['ссят', 16]
['10', 16]
['миннал', 16]
['рирщуну', 16]
['миннат', 16]
['девтал', 16]
['хьхьичiун', 16]
['чарсса', 16]
['ттукку', 15]
['хъап', 15]
['дургьуну', 15]
['чiу', 15]
['инсантал', 15]
['жува', 15]
['вичiи', 15]
['шанан', 15]
['чiявусса', 15]
['гагу', 15]
['учин', 15]
['бувгьуну', 15]
['бара', 15]
['сси', 15]
['паччахiначiан', 15]
['лас', 15]
['гьарза', 15]
['чун', 15]
['дула', 15]
['щуну', 15]
['дакi', 15]
['хьхьувай', 15]
['нех', 15]
['хан', 15]
['муксса', 14]
['дирчуну', 14]
['луглай', 14]
['дакъар', 14]
['кунма', 14]
['банмур', 14]
['бавну', 14]
['хавар', 14]
['бакъасса', 14]
['ка', 14]
['жу', 14]
['хьунни', 14]
['бацiан', 14]
['ттуща', 14]
['майданнив', 14]
['шагьнал', 14]
['дурцуну', 14]
['адимина', 14]
['ххаржан', 14]
['хьувкун', 14]
['кiулли', 14]
['муххал', 14]
['цурда', 14]
['чару', 14]
['ччатi', 14]
['щарссаничiан', 14]
['хъацiаьли', 14]
['гъалгъа', 13]
['акъарив', 13]
['кiанттай', 13]
['канай', 13]
['хьуннав', 13]
['нанисса', 13]
['бакiрайн', 13]
['къакiулну', 13]
['кумаг', 13]
['ан', 13]
['урувгун', 13]
['хiисав', 13]
['ванан', 13]
['ххуй', 13]
['бувххун', 13]
['шардай', 13]
['чiивима', 13]
['ахиргу', 13]
['дулунна', 13]
['кiану', 13]
['хъинсса', 13]
['12', 13]
['цамур', 13]
['дакъасса', 13]
['бакiрал', 13]
['ласун', 13]
['ччимур', 13]
['уссу', 13]
['ххуллий', 13]
['аждагьалул', 13]
['дуккан', 13]
['заннал', 13]
['ччатiул', 13]
['хъу', 13]
['чiярусса', 13]
['кiанайн', 12]
['чiал', 12]
['ккашил', 12]
['15', 12]
['нахiусса', 12]
['щил', 12]
['бурив', 12]
['нанини', 12]
['буну', 12]
['цинма', 12]
['оьрчiгу', 12]
['вища', 12]
['ххирасса', 12]
['оьрчiахь', 12]
['оьттул', 12]
['гайннул', 12]
['чiун', 12]
['хъатiи', 12]
['ниц', 12]
['чухъри', 12]
['ларххун', 12]
['ххишала', 12]
