['са', 951]
['лагьана', 692]
['и', 663]
['хьана', 540]
['я', 529]
['вичин', 381]
['ам', 302]
['фена', 295]
['ада', 283]
['руш', 225]
['вун', 207]
['за', 199]
['авай', 198]
['зи', 195]
['мад', 188]
['зун', 185]
['атана', 174]
['ва', 171]
['заз', 170]
['кьван', 167]
['адаз', 164]
['гана', 158]
['чан', 156]
['ахпа', 146]
['хабар', 144]
['им', 144]
['ваз', 141]
['гьа', 138]
['ви', 136]
['вири', 129]
['пачагь', 129]
['а', 127]
['адан', 126]
['патав', 126]
['пачагьдин', 124]
['кьуна', 124]
['гзаф', 121]
['ида', 118]
['авуна', 112]
['вуна', 110]
['кiвализ', 110]
['вуч', 108]
['алай', 106]
['хтана', 104]
['гада', 102]
['руша', 99]
['галаз', 95]
['тир', 90]
['пачагьди', 88]
['ирид', 88]
['хьанач', 87]
['юкъуз', 85]
['яд', 85]
['амма', 84]
['ибур', 83]
['чiехи', 82]
['хва', 81]
['стха', 80]
['абур', 79]
['вич', 79]
['чна', 78]
['туна', 78]
['гадади', 78]
['хьиз', 77]
['сикiре', 77]
['хьайила', 75]
['лугьуз', 74]
['акуна', 74]
['ятiа', 72]
['кьил', 71]
['лугьуда', 71]
['жанавур', 71]
['жеда', 71]
['ийиз', 70]
['гьикi', 70]
['туш', 68]
['тiимил', 67]
['паб', 67]
['кас', 66]
['пуд', 66]
['чпин', 64]
['пачагьдиз', 63]
['жаваб', 63]
['ава', 63]
['сикi', 63]
['акурла', 62]
['икi', 62]
['квай', 62]
['рушаз', 61]
['килигайтiа', 61]
['хъсан', 60]
['гила', 60]
['кьуьзуь', 59]
['хъфена', 59]
['кар', 58]
['вичиз', 58]
['бес', 58]
['рази', 57]
['ван', 57]
['идаз', 57]
['кьве', 57]
['чир', 57]
['2', 56]
['хьуй', 56]
['маса', 56]
['вилик', 56]
['гваз', 56]
['1', 55]
['хьанвай', 55]
['гъвечiи', 55]
['ша', 54]
['къачуна', 54]
['чи', 53]
['чун', 52]
['диде', 52]
['вегьена', 52]
['3', 51]
['вахтунда', 50]
['хьи', 50]
['къуз', 50]
['экъечiна', 50]
['рушан', 49]
['эгер', 48]
['4', 48]
['хьайи', 48]
['хъел', 48]
['рекье', 48]
['буба', 48]
['лагь', 47]
['акъатна', 46]
['эцигна', 46]
['яна', 45]
['кiан', 44]
['хъувуна', 44]
['жанавурди', 44]
['тiуьна', 44]
['цiай', 44]
['кьулухъ', 43]
['вичи', 43]
['гьар', 43]
['ахъайна', 43]
['це', 43]
['ина', 42]
['бала', 42]
['абуру', 42]
['еке', 41]
['жузуна', 41]
['югъ', 41]
['нуькi', 41]
['5', 40]
['акъвазна', 40]
['пака', 40]
['башламишна', 40]
['кьилел', 40]
['сад', 40]
['аждагьан', 40]
['ацукьна', 39]
['яз', 39]
['гьатна', 39]
['аваз', 38]
['ибуру', 38]
['деве', 38]
['як', 38]
['эхир', 38]
['тадиз', 37]
['катна', 37]
['лагьай', 37]
['кiвале', 37]
['кесиб', 37]
['кичiе', 36]
['гьич', 36]
['фида', 36]
['квез', 36]
['вучиз', 36]
['къари', 36]
['фу', 36]
['тахьайтiа', 35]
['6', 35]
['адавай', 35]
['арада', 35]
['гуз', 35]
['гададиз', 35]
['идан', 34]
['килигна', 34]
['ман', 34]
['йифиз', 34]
['гъана', 34]
['пул', 34]
['ваъ', 33]
['агакьна', 33]
['тiвар', 33]
['везир', 33]
['кiвалин', 33]
['гъил', 33]
['гададин', 33]
['бубади', 33]
['шичан', 32]
['кiанда', 32]
['ихьтин', 32]
['рушни', 32]
['шарвили', 32]
['папа', 32]
['гаф', 31]
['куьн', 31]
['чiавуз', 31]
['иниз', 31]
['бубадиз', 31]
['вах', 31]
['авачир', 30]
['чкадал', 30]
['хьанва', 30]
['7', 30]
['гуда', 30]
['акъудна', 30]
['кiаник', 30]
['чара', 30]
['итим', 30]
['рикi', 29]
['сагърай', 29]
['мадни', 29]
['ийида', 29]
['гафар', 29]
['жедач', 29]
['зурба', 29]
['авач', 29]
['на', 29]
['винел', 29]
['завай', 28]
['атiана', 28]
['кьадар', 28]
['фейила', 28]
['атiуз', 28]
['акьуллу', 28]
['абуруз', 28]
['аватна', 28]
['балкiан', 28]
['аял', 28]
['лап', 27]
['вуж', 27]
['алатна', 27]
['8', 27]
['тухвана', 27]
['кьилиз', 27]
['кьена', 27]
['яц', 27]
['кiватi', 27]
['къариди', 27]
['магьамада', 27]
['гьуьлуьн', 27]
['вахт', 26]
['9', 26]
['акьахна', 26]
['стхаяр', 26]
['тум', 26]
['патал', 26]
['акур', 26]
['йиф', 26]
['муькуь', 26]
['инсан', 26]
['хци', 25]
['кац', 24]
['рекьиз', 24]
['гъуьл', 24]
['ятiани', 24]
['гьикьван', 24]
['сеферда', 24]
['хьтин', 24]
['хуьруьз', 24]
['пагьливан', 24]
['парталар', 24]
['вилер', 23]
['анжах', 23]
['куьне', 23]
['дидеди', 23]
['герек', 23]
['чiулав', 23]
['яру', 23]
['гьалтна', 23]
['акi', 23]
['къарикай', 23]
['сикiрез', 23]
['яни', 23]
['къарагъна', 23]
['кутуна', 23]
['сада', 23]
['пара', 23]
['яшамиш', 22]
['чка', 22]
['эхирдай', 22]
['гьиниз', 22]
['хьайитiа', 22]
['жез', 22]
['килиг', 22]
['инал', 22]
['10', 22]
['ая', 22]
['кiвалах', 22]
['чуьнуьх', 22]
['акъвазарна', 22]
['гьасятда', 22]
['жедайди', 22]
['аждагьанди', 22]
['гъиле', 21]
['жезвай', 21]
['хьайитiани', 21]
['чаз', 21]
['цавуз', 21]
['яргъи', 21]
['амай', 21]
