['бир', 93]
['деп', 84]
['дейди', 82]
['де', 57]
['да', 50]
['заманда', 41]
['мен', 41]
['ол', 41]
['экен', 37]
['хан', 36]
['карт', 34]
['не', 31]
['сонъ', 24]
['ман', 22]
['сол', 21]
['яс', 21]
['баьри', 20]
['бу', 20]
['алып', 20]
['онынъ', 19]
['ярлы', 19]
['шегертки', 19]
['болады', 18]
['болса', 18]
['кыз', 18]
['эм', 17]
['болып', 17]
['йийренши-шешен', 17]
['1', 16]
['2', 16]
['3', 16]
['зат', 16]
['береди', 16]
['барып', 16]
['оны', 16]
['келип', 16]
['юзикти', 16]
['4', 15]
['та', 15]
['деген', 15]
['аьдем', 14]
['куьн', 14]
['йок', 14]
['тек', 14]
['коьп', 14]
['ерге', 13]
['ханнынъ', 13]
['кара', 13]
['хатын', 13]
['бай', 13]
['соьз', 12]
['кетеди', 12]
['кызы', 12]
['боьри', 12]
['келеди', 12]
['меним', 12]
['ер', 12]
['хатыны', 12]
['сени', 11]
['патшасы', 11]
['эгер', 11]
['этип', 11]
['уьш', 11]
['коьппе', 11]
['болар', 11]
['мысык', 11]
['ийт', 11]
['куртка', 11]
['сув', 10]
['болган', 10]
['кирпи', 10]
['олар', 10]
['сен', 9]
['эди', 9]
['бери', 9]
['болыпты', 9]
['ханга', 9]
['ойлап', 9]
['акмак', 9]
['неге', 8]
['керек', 8]
['аьйле', 8]
['энъ', 8]
['сорайды', 8]
['экинши', 8]
['яхшы', 8]
['мени', 8]
['кыздынъ', 8]
['карагус', 8]
['алтын', 8]
['халк', 8]
['йол', 8]
['5', 8]
['кере', 8]
['эдим', 8]
['кырк', 8]
['ак', 8]
['бурын-бурын', 7]
['ат', 7]
['шышкан', 7]
['каты', 7]
['кышкырады', 7]
['соннан', 7]
['мага', 7]
['аз', 7]
['ерде', 7]
['кой', 7]
['сага', 7]
['сонда', 7]
['коьрип', 7]
['оьзининъ', 7]
['сенинъ', 7]
['оьзи', 7]
['он', 7]
['пан', 7]
['йигит', 7]
['бек', 7]
['калай', 7]
['йыйып', 7]
['тынълап', 7]
['барады', 7]
['суьлеймен', 7]
['патыша', 7]
['алал', 7]
['туье', 6]
['обыргус', 6]
['балык', 6]
['шыгарып', 6]
['сувга', 6]
['дегенде', 6]
['шыгады', 6]
['ушып', 6]
['тенъиздинъ', 6]
['пен', 6]
['эситкен', 6]
['эр', 6]
['соьзин', 6]
['коьк', 6]
['энди', 6]
['уьшин', 6]
['шакырып', 6]
['буга', 6]
['болганда', 6]
['бол', 6]
['6', 6]
['айтып', 6]
['айтканын', 6]
['койбагар', 6]
['туьединъ', 5]
['уьйкен', 5]
['айтпай', 5]
['берип', 5]
['те', 5]
['дуныядагы', 5]
['уьшинши', 5]
['ерден', 5]
['йибереди', 5]
['ашап', 5]
['тай', 5]
['карагустынъ', 5]
['акында', 5]
['оьз', 5]
['олардынъ', 5]
['хатынынынъ', 5]
['юзинде', 5]
['касында', 5]
['айтады', 5]
['айткан', 5]
['эй', 5]
['халктынъ', 5]
['картка', 5]
['ерди', 5]
['7', 5]
['8', 5]
['яшаган', 5]
['койлар', 5]
['эки', 5]
['дегени', 5]
['келгенин', 5]
['оьлсе', 5]
['балшы', 5]
['байдынъ', 5]
['ябалак', 5]
['дуныяда', 5]
['теректинъ', 5]
['сакаллы', 5]
['йыл', 4]
['кайда', 4]
['биринши', 4]
['карап', 4]
['танъ', 4]
['сондай', 4]
['этер', 4]
['айт', 4]
['кимге', 4]
['ян-янувар', 4]
['аьйледи', 4]
['бер', 4]
['туьлки', 4]
['шы', 4]
['берилди', 4]
['тагы', 4]
['кады', 4]
['авызы', 4]
['эшки', 4]
['усап', 4]
['бал', 4]
['коьзин', 4]
['ок', 4]
['болды', 4]
['билмеген', 4]
['татым', 4]
['соьзлерин', 4]
['кызынынъ', 4]
['шыгып', 4]
['деди', 4]
['баласын', 4]
['кызына', 4]
['билдиреди', 4]
