['ми', 411]
['ки', 385]
['са', 376]
['рухьура', 291]
['а', 157]
['ка', 138]
['руъура', 124]
['ад', 119]
['за', 108]
['хала', 104]
['зы', 103]
['бала', 101]
['хьур', 99]
['рыш', 95]
['ваъара', 90]
['миние', 88]
['амма', 86]
['зас', 82]
['мибыр', 80]
['вы', 78]
['ай', 76]
['минийис', 76]
['вас', 75]
['ва', 75]
['хьели', 74]
['изды', 73]
['гъаъ', 71]
['гьаъара', 71]
['джуды', 71]
['гьа', 68]
['йиъи', 67]
['миди', 66]
['шыв', 65]
['на', 65]
['джан', 64]
['минийды', 64]
['йишири', 63]
['йишир', 62]
['гьамыъ', 59]
['нин', 58]
['сада', 56]
['дух', 56]
['лаъ', 53]
['1', 52]
['2', 52]
['виъи', 51]
['джыбра', 51]
['не', 50]
['выды', 48]
['эдеми', 48]
['гъад', 47]
['бытiрад', 47]
['минийе', 47]
['маа', 46]
['хулкара', 45]
['йыгъа', 45]
['3', 45]
['ихтилат', 45]
['бейде', 44]
['йигара', 44]
['гъыiрче', 42]
['гьай', 41]
['ун', 41]
['саъ', 41]
['эхир', 41]
['гада', 41]
['выъыр', 40]
['къари', 40]
['гьыъыр', 39]
['шууна', 38]
['хъуъ', 38]
['выдж', 38]
['гъыiрчехъан', 37]
['хьед', 36]
['вишири', 36]
['йиъий', 35]
['гвалах', 35]
['пачагьад', 34]
['ихьды', 33]
['хабар', 33]
['фикир', 32]
['хьура', 32]
['4', 32]
['выъыри', 32]
['йыхьыр', 32]
['кьухьды', 32]
['дид', 32]
['мибише', 31]
['гьаъас', 31]
['сес', 31]
['гьис', 31]
['хана', 31]
['гьадыла', 30]
['гьаiсил', 30]
['гьыъыри', 29]
['ара', 29]
['мадды', 29]
['вылцiара', 29]
['выше', 29]
['хъиркьыр', 29]
['диде', 29]
['и', 28]
['лап', 28]
['лешур', 28]
['касибере', 28]
['гьухьур', 28]
['лал', 27]
['гьаъ', 27]
['ваъ', 27]
['рыхьыр', 27]
['джус', 27]
['нине', 27]
['аъ', 26]
['гакъыд', 26]
['вахт', 26]
['рыкъаi', 26]
['шад', 25]
['5', 25]
['дама', 25]
['касиб', 25]
['пачагь', 25]
['марал', 25]
['йикиси', 24]
['хыных', 24]
['джиды', 24]
['ваъас', 24]
['риъи', 24]
['решере', 24]
['рухьурый', 24]
['выхьыр', 23]
['сиене', 23]
['ачых', 23]
['гьагуйне', 23]
['кар', 23]
['ма', 23]
['арыдыла', 23]
['йишид', 23]
