['саб', 301]
['думу', 283]
['чан', 271]
['ва', 268]
['хъа', 202]
['кiури', 185]
['узу', 170]
['риш', 169]
['бай', 139]
['шулу', 136]
['уву', 133]
['дугъу', 126]
['йиз', 125]
['дапiну', 120]
['я', 108]
['му', 104]
['ву', 101]
['яв', 100]
['айи', 95]
['дугъаз', 92]
['кiуру', 86]
['амма', 85]
['шуру', 82]
['апiуру', 81]
['фу', 80]
['сар', 80]
['апiуз', 79]
['дурар', 72]
['дугъан', 72]
['бали', 72]
['вуйи', 70]
['гьамци', 67]
['шуран', 66]
['увуз', 63]
['апiури', 63]
['дупну', 63]
['гъапи', 62]
['вари', 60]
['узуз', 58]
['йигъан', 57]
['гьаму', 56]
['аьхю', 56]
['хулаз', 56]
['ан', 54]
['чаз', 52]
['духьну', 51]
['дархи', 51]
['гизаф', 49]
['гъягъюру', 49]
['аьгъю', 48]
['шураз', 48]
['хабар', 47]
['бализ', 46]
['вуш', 44]
['жан', 44]
['кьаби', 44]
['кiул', 43]
['ин', 42]
['чпин', 42]
['паччагьдин', 41]
['паччагьди', 41]
['учв', 40]
['аьхюну', 40]
['гьам', 40]
['хъана', 39]
['тувру', 39]
['диди', 39]
['сад', 38]
['лап', 38]
['фици', 38]
['гъаши', 37]
['гъапiу', 37]
['гьамус', 37]
['дарш', 37]
['эгер', 36]
['ил', 36]
['жара', 36]
['1', 35]
['гъабши', 35]
['хъади', 35]
['2', 34]
['ляхин', 34]
['кас', 34]
['ражари', 33]
['хъюгъру', 33]
['бадали', 33]
['гъюру', 33]
['шули', 33]
['дидин', 32]
['гъапну', 32]
['шул', 32]
['дюн', 32]
['кiур', 32]
['гафар', 32]
['йишван', 32]
['малла', 32]
['гъахьну', 31]
['гьаз', 31]
['гьерхру', 31]
['ккунду', 31]
['хъайи', 30]
['хил', 30]
['хулаъ', 30]
['хъанара', 30]
['хпири', 30]
['гьадму', 29]
['ихь', 29]
['3', 29]
['али', 29]
['рякъюъ', 29]
['шид', 29]
['апiин', 29]
['дих', 29]
['хпир', 29]
['кьадар', 29]
['дурари', 28]
['кьюб', 28]
['сулу', 28]
['гучi', 28]
['паччагь', 27]
['4', 27]
['дубхьну', 27]
['ухьу', 27]
['кiару', 27]
['гьаци', 27]
['ади', 27]
['хъадакну', 27]
['аждагьа', 27]
['тувну', 26]
['гъач', 26]
['кiуруш', 26]
['э', 26]
['ккун', 25]
['баб', 25]
['учiвру', 25]
['маллайи', 25]
['арайиъ', 24]
['бабу', 24]
['сарун', 24]
['дар', 23]
['сул', 23]
['хъасин', 23]
['яшамиш', 23]
['чара', 23]
['5', 23]
['метте', 23]
['хьади', 23]
['фикир', 22]
['жаваб', 22]
['рякъ', 22]
['гъапiну', 22]
['хъял', 22]
['дишлади', 22]
['дурарин', 22]
['душну', 22]
['жигьил', 22]
['балин', 22]
['гьязур', 21]
['фукiара', 21]
['вушра', 21]
['дидиз', 21]
['жанавар', 21]
['ич', 21]
['дурариз', 21]
['битi', 21]
['гъафи', 21]
['хъайигъан', 21]
['пай', 21]
['касиб', 21]
['гъапiнийи', 21]
['агу', 21]
['нивкi', 20]
['а', 20]
['аш', 20]
['вахтна', 20]
['зурба', 20]
['гъулаъ', 20]
['дадайи', 20]
['гъушу', 20]
['узура', 19]
['фукьан', 19]
['йишв', 19]
['гьа', 19]
['гьар', 19]
['гагь', 19]
['йип', 19]
['жилир', 19]
['жин', 19]
['гъабхьну', 18]
['баяр', 18]
['дуфну', 18]
['адайи', 18]
['чав', 18]
['6', 18]
['рази', 18]
['гагайин', 18]
