['э', 1393]
['эз', 469]
['е', 365]
['у', 264]
['ме', 251]
['эри', 233]
['туь', 197]
['сер', 196]
['эн', 180]
['мугу', 165]
['и', 149]
['хуьшде', 143]
['духдер', 140]
['падшогь', 134]
['не', 128]
['эну', 120]
['оммо', 109]
['мере', 102]
['сохде', 96]
['хуьшдере', 95]
['ю', 93]
['кук', 90]
['бу', 81]
['уре', 78]
['омо', 76]
['сохд', 75]
['гуьрг', 71]
['зен', 70]
['ки', 69]
['эй', 67]
['хуне', 64]
['гуфдире', 64]
['туьре', 63]
['бире', 61]
['угьо', 60]
['мерд', 60]
['рэхь', 57]
['туьлки', 57]
['те', 56]
['гье', 56]
['бисдо', 55]
['гуфди', 55]
['эдее', 51]
['чуь', 51]
['бирор', 49]
['нисе', 48]
['келе', 47]
['песде', 47]
['эни', 46]
['до', 45]
['лап', 45]
['мугую', 45]
['жиге', 45]
['хуно', 44]
['шегьер', 43]
['девруьш', 43]
['хэр', 42]
['гьечи', 41]
['дес', 41]
['рустом', 41]
['кор', 40]
['пушой', 40]
['дуь', 40]
['руз', 39]
['имогьой', 39]
['гуьрд', 39]
['омбар', 39]
['хурузкуьгьи', 38]
['иму', 38]
['хов', 36]
['оморе', 35]
['эзу', 35]
['хурде', 32]
['чуьтам', 32]
['рафд', 32]
['гъэд', 32]
['мивинуь', 32]
['доре', 31]
['инжо', 30]
['эгенер', 30]
['гiэсб', 30]
['зере', 30]
['косиб', 30]
['више', 29]
['се', 29]
['зе', 29]
['гiов', 29]
['мибу', 29]
['бири', 28]
['гене', 28]
['буьлбуьл', 28]
['энуре', 28]
['рафде', 27]
['дери', 27]
['ченд', 27]
['эки', 27]
['гьетте', 27]
['ов', 26]
['деве', 26]
['гиле', 25]
['эдембу', 25]
['фикир', 25]
['дие', 25]
['ве', 25]
['нисди', 25]
['сал', 25]
['еки', 25]
['везир', 25]
['эриме', 25]
['юре', 24]
['сох', 24]
['энугьо', 24]
['аслан', 24]
['ихдилот', 23]
['хэбер', 23]
['дуьл', 23]
['хуб', 23]
['жигей', 23]
['песой', 23]
['пэхьни', 23]
['бэгъдо', 23]
['келеи', 23]
['бироргьо', 23]
['2', 22]
['мисоху', 22]
['гуьрде', 22]
['хэгьер', 22]
['чуьклеи', 22]
['1', 21]
['ведиромо', 21]
['3', 21]
['4', 21]
['гьеме', 21]
['зир', 21]
['одоми', 21]
['тэгiбур', 21]
['овчи', 21]
['дер', 21]
['мулла', 21]
['5', 20]
['рази', 20]
['гъирогъ', 20]
['ён', 20]
['кул', 20]
['вегуьрде', 20]
['эней', 20]
['бедел', 20]
['эзи', 19]
['биё', 19]
['офдо', 19]
['ди', 19]
['me', 19]
['вэхд', 19]
['эйчуь', 19]
['омори', 19]
['дуьм', 19]
['сес', 19]
['хори', 19]
['хуней', 19]
['зирновчи', 19]
['согъ', 18]
['унжо', 18]
['6', 18]
['гьич', 18]
['гiош', 18]
['бэхш', 18]
['гюзель', 18]
['дигь', 17]
['хьэрой', 17]
['гу', 17]
['бебейму', 17]
['гоф', 17]
['угьоре', 17]
['мар', 17]
['суьрх', 17]
['гусбенд', 17]
['унегуьре', 17]
['ранжбер', 17]
['гъэлече', 17]
['гьемме', 17]
['себэхь', 16]
['мунд', 16]
['шев', 16]
['гьечу', 16]
['эритуь', 16]
['раче', 16]
['буйругъ', 16]
['ишму', 16]
['ни', 16]
['хос', 16]
['гъути', 16]
['гобой', 16]
['хэре', 15]
['гьейсэгiэт', 15]
['гуш', 15]
['мивини', 15]
['духдере', 15]
['диромо', 15]
['сэхьиб', 15]
['падшогье', 15]
['шогь', 15]
['гушд', 14]
['дануьсденуьм', 14]
['гьемин', 14]
['нуьшд', 14]
['увэхди', 14]
['небу', 14]
['ишмуре', 14]
['вегуьрд', 14]
['кура', 14]
['шенде', 14]
['шохьонгум', 13]
['шори', 13]
['нэгi', 13]
['бовор', 13]
['миёв', 13]
['жун', 13]
['ижире', 13]
['шенд', 13]
['комики', 13]
['гирошде', 13]
['зури-зури', 13]
['вокурде', 13]
['кар', 13]
['нумнегир', 13]
['жугьоб', 12]
['меш', 12]
['чи', 12]
['7', 12]
['гъувот', 12]
['куьнд', 12]
['сэхд', 12]
['хьофд', 12]
['огол', 12]
['хэлгъ', 12]
['инсон', 12]
['веди', 12]
['гiэсбе', 12]
['утогъ', 12]
['сохдуьт', 12]
['тожир', 12]
['гуфдирени', 12]
['духдергьо', 12]
['пул', 12]
['кутум', 12]
['вэхуьшд', 11]
['хэйли', 11]
['пой', 11]
['гешде', 11]
['назу', 11]
['екем', 11]
['дор', 11]
['эже', 11]
['игьо', 11]
['гирошд', 11]
['ебо', 11]
['руй', 11]
['соху', 11]
['дуьимуьн', 11]
['миев', 11]
['домор', 11]
['кур', 11]
['демирчи', 11]
['немерд', 11]
['товун', 10]
['дануьсде', 10]
['пуьрси', 10]
['бура', 10]
['8', 10]
['гомиш', 10]
['9', 10]
['буге', 10]
['бирден', 10]
['минет', 10]
['жендек', 10]
['гьечуь', 10]
['минжи', 10]
['гофгьой', 10]
