['гъу', 60]
['са', 59]
['эйгьи', 51]
['зы', 47]
['мана', 39]
['ыхьа', 34]
['джаваб', 32]
['деш', 32]
['манкъве', 27]
['паччагье', 27]
['гаде', 25]
['ва', 24]
['хъийгiан', 22]
['паччагь', 22]
['манат', 22]
['вас', 21]
['ман', 20]
['ворна', 20]
['аiгьмаде', 20]
['хъели', 19]
['зас', 19]
['маiгьаммаде', 19]
['аiгьмад', 18]
['вазире', 17]
['йигъни', 17]
['айкiан', 17]
['фирман', 17]
['эйгье', 17]
['шагь', 16]
['вазир', 16]
['инсан', 16]
['вуккан', 16]
['гул', 16]
['йигъна', 15]
['джуни', 14]
['тамбал', 14]
['манбы', 13]
['мани', 13]
['увгьо', 13]
['ваiш', 12]
['касиб', 11]
['хьунаще', 11]
['гьиджон', 11]
['вакiле', 11]
['хаахъа', 11]
['кар', 11]
['ыккан', 11]
['манке', 11]
['гьау', 11]
['гьаiшде', 11]
['аазыр', 11]
['агар', 10]
['гьаъа', 10]
['вухьа', 10]
['аiгьмадыс', 10]
['цiа', 10]
['пыл', 10]
['водон', 10]
['до', 10]
['хав', 10]
['водун', 9]
['къизил', 9]
['сабара', 9]
['паччагьни', 9]
['гьааъа', 9]
['сайиб', 9]
['фалыйе', 9]
['аiббасе', 8]
['касибе', 8]
['манкъус', 8]
['гьевлес', 8]
['хъеле', 8]
['яхши', 8]
['бес', 8]
['вобна', 8]
['амма', 8]
['джуна', 8]
['гьааъас', 8]
['дешда', 8]
['воб', 8]
['перий', 8]
['1', 7]
['адамий', 7]
['2', 7]
['гора', 7]
['гьооли', 7]
['ыiмыр', 7]
['йигъын', 7]
['хабар', 7]
['вор', 7]
['балканылхъа', 7]
['гьаiрай', 7]
['вукiул', 7]
['кiыл', 7]
['охьанасын', 7]
['иш', 7]
['закiле', 7]
['хъевлес', 7]
['паччагьна', 7]
['хъийгъа', 7]
['салам', 7]
['алейтiу', 7]
['кьоiбле', 7]
['айтемыр', 7]
['3', 6]
['пайис', 6]
['4', 6]
['пай', 6]
['5', 6]
['амур', 6]
['вахтале', 6]
['паччагьысахъа', 6]
['манкъуке', 6]
['медын', 6]
['6', 6]
['дешхье', 6]
