kum,nog,tat,lzg,agh,tab,rut,tkh,arc,lak,drgw,ava,khv,kar
31,30,32,41,47,44,44,48,57,45,48,45,54,53
31,29,31,43,48,47,46,47,58,47,46,46,52,55
30,30,30,41,45,47,40,46,56,45,53,45,49,56
32,29,30,42,48,52,44,49,56,47,44,46,55,53
30,29,29,43,44,44,43,46,60,46,46,47,51,57
30,29,30,43,48,47,41,48,59,46,47,46,51,53
30,31,31,41,46,47,43,45,60,47,46,45,51,54
31,30,30,41,50,47,41,47,59,45,46,47,56,56
31,32,30,40,48,47,37,48,58,46,44,44,53,53
30,27,30,42,46,46,42,50,57,48,51,46,54,58
29,29,32,42,51,44,44,46,61,47,47,48,53,53
31,27,31,42,47,46,42,48,63,45,47,50,53,57
30,30,29,42,46,46,44,45,58,44,47,47,52,56
31,28,32,43,48,43,42,46,59,45,47,45,52,55
31,29,30,41,52,41,44,50,56,44,47,43,50,55
31,31,30,41,48,42,42,43,58,48,45,43,52,55
30,29,31,42,45,44,44,49,61,48,42,49,51,53
32,28,34,41,50,44,41,53,59,47,46,45,51,54
30,30,32,39,47,43,39,52,60,46,44,48,49,54
30,29,32,41,48,49,41,50,61,46,44,47,52,55
29,29,30,43,46,46,43,45,59,44,48,46,52,57
30,30,29,42,47,48,42,48,52,45,47,46,49,55
30,28,32,42,46,46,40,47,58,46,53,49,50,54
29,29,32,43,51,48,40,43,58,48,47,45,53,54
30,29,30,41,50,47,40,50,60,49,48,47,49,56
31,28,31,42,49,46,41,48,58,47,50,47,52,54
30,30,31,41,47,45,42,46,58,44,44,48,50,54
31,31,29,42,47,47,40,48,59,46,44,45,54,55
30,30,31,41,50,45,39,47,61,47,46,50,52,57
32,31,30,43,49,44,39,47,60,46,45,48,54,53
32,31,32,39,48,44,45,51,60,44,48,48,51,55
29,29,30,42,51,46,42,54,56,45,49,48,53,53
30,30,30,41,48,45,43,49,53,49,48,46,50,52
31,31,31,42,47,47,38,47,57,45,47,47,54,54
30,29,30,41,48,47,42,47,58,46,46,52,50,52
30,30,29,44,51,45,42,50,59,46,43,43,53,58
31,30,30,40,48,48,38,43,55,46,49,46,56,55
32,31,31,44,43,44,42,50,58,44,46,47,52,58
30,29,30,44,52,47,45,44,58,44,49,48,49,55
30,30,29,41,46,48,41,49,58,44,42,49,56,55
32,30,30,40,49,44,42,45,59,46,49,48,53,55
29,30,30,41,50,45,39,47,60,47,46,49,51,53
31,28,30,42,51,48,45,52,59,48,46,44,53,55
31,30,31,40,49,47,42,51,57,46,44,46,54,54
30,29,34,41,47,46,38,49,58,45,46,45,51,53
29,30,31,42,46,46,43,47,56,47,47,48,51,58
30,30,30,43,49,45,41,50,57,46,49,50,49,55
30,29,33,43,45,45,38,49,52,46,48,45,54,53
31,28,31,41,50,45,44,47,59,44,45,45,51,55
32,32,30,41,49,46,43,50,61,47,43,47,52,56
32,30,31,41,46,45,41,48,61,46,50,46,55,58
30,29,29,41,54,43,40,49,56,45,46,48,51,59
31,29,31,41,48,47,43,50,57,44,44,43,52,56
30,30,31,39,49,47,43,48,60,46,48,46,52,55
30,32,30,42,47,46,42,44,59,46,45,50,50,54
30,29,31,42,51,45,40,49,55,46,47,45,56,54
30,29,29,41,48,46,43,48,57,46,48,41,52,56
31,29,29,42,46,43,38,48,57,48,50,47,53,55
30,29,29,42,50,44,41,51,59,49,51,46,50,54
30,28,29,41,46,45,41,45,57,45,44,48,47,56
32,31,32,40,48,46,42,48,57,47,45,47,49,55
29,30,31,42,49,45,45,49,58,44,42,47,51,58
31,29,31,40,46,43,41,53,56,45,49,47,49,55
30,29,31,42,52,45,42,50,59,44,50,48,48,55
32,30,30,40,47,49,40,46,59,46,48,47,54,53
30,32,32,41,45,43,44,46,58,45,47,42,51,58
30,28,32,42,50,47,42,46,60,46,47,47,50,55
30,30,29,42,48,47,43,44,59,47,47,47,52,54
30,28,32,44,45,43,41,47,56,47,52,46,51,55
32,29,29,42,46,46,40,51,63,46,41,48,52,56
29,29,29,43,50,45,43,48,61,44,49,48,51,54
31,32,29,41,46,44,38,50,57,45,46,48,52,54
30,29,30,41,47,45,45,52,62,44,44,47,51,54
30,28,32,42,48,45,38,47,61,48,51,44,50,54
29,31,30,40,48,45,41,49,59,46,49,50,50,54
31,29,31,41,49,45,44,48,58,46,43,49,51,54
31,30,31,42,48,47,42,47,59,47,43,47,52,55
30,30,30,40,47,44,41,44,56,46,45,47,51,53
30,33,31,43,43,48,41,50,53,45,43,48,52,57
32,30,31,40,48,45,43,49,58,44,46,46,51,57
30,31,31,43,45,47,43,50,56,44,48,45,48,54
30,31,29,41,47,48,42,47,58,44,50,48,52,57
31,31,29,42,47,44,43,49,61,47,41,47,50,55
30,31,32,42,50,44,40,46,58,46,47,47,49,53
31,28,30,42,47,48,41,49,59,48,48,45,51,58
30,29,31,43,47,46,44,48,55,45,43,49,52,55
32,30,31,43,51,48,43,47,57,44,47,48,52,56
31,29,31,43,49,48,45,48,60,47,49,45,49,57
29,29,29,42,50,45,42,52,62,45,44,47,52,57
31,30,34,41,45,47,45,47,59,45,46,45,56,56
31,29,31,39,50,46,40,47,63,45,46,51,53,54
30,30,29,41,46,45,41,47,58,47,48,48,51,57
30,31,31,41,49,43,41,50,58,47,44,48,50,56
29,29,31,41,48,46,40,48,61,46,49,49,51,58
30,30,30,39,47,45,41,50,60,46,44,45,53,54
31,29,32,43,46,44,44,47,59,45,49,47,56,56
29,31,31,40,44,43,41,50,60,46,49,45,53,55
29,31,30,42,46,46,41,51,59,46,45,45,54,54
29,29,31,43,47,45,41,53,62,44,47,46,51,53
30,28,30,43,51,43,39,49,56,45,46,48,52,54
29,29,31,40,50,50,41,48,59,46,48,47,50,56
30,30,29,40,49,45,41,49,59,47,47,47,50,56
29,29,30,42,48,44,43,45,57,45,43,49,51,56
30,28,30,41,47,45,42,45,58,46,49,44,53,54
30,29,32,41,47,45,43,48,58,47,46,48,49,56
31,29,30,43,50,49,43,48,59,46,47,50,53,56
31,30,31,42,49,45,41,46,56,49,45,49,52,53
31,32,29,41,55,46,45,47,58,45,45,47,52,53
33,31,29,38,48,46,41,47,60,49,43,45,48,59
30,29,30,42,45,48,42,50,61,45,46,48,56,56
31,28,31,41,44,46,41,52,59,47,50,45,51,54
29,31,30,42,49,45,43,49,62,44,43,46,49,56
30,31,31,42,49,45,43,46,58,47,50,48,53,55
31,30,30,41,49,46,40,44,57,46,46,48,53,55
31,31,29,43,49,46,40,43,55,46,47,47,48,55
31,30,30,45,44,45,41,47,63,47,44,45,52,57
30,30,32,41,50,44,42,52,56,43,44,46,49,53
32,27,30,42,47,46,45,49,59,45,49,46,52,56
30,32,32,41,51,46,40,48,58,47,51,46,54,55
32,30,31,39,44,44,41,51,60,47,46,47,55,55
31,28,30,42,48,45,40,48,62,48,51,44,49,57
30,31,30,43,46,46,42,49,56,45,45,45,51,57
30,31,30,43,46,46,43,50,58,46,46,45,52,58
31,31,29,42,47,47,43,48,61,45,50,46,52,54
30,30,31,40,50,46,40,44,56,46,44,46,53,56
32,31,31,42,45,47,40,47,61,45,44,46,54,57
30,30,31,40,49,47,42,47,56,45,48,48,52,56
29,30,32,42,48,45,41,47,60,47,43,49,51,56
29,30,31,42,49,45,38,45,60,44,43,44,49,54
31,29,30,41,46,46,42,49,59,46,48,48,46,56
30,31,31,40,47,46,41,47,61,48,47,45,50,56
30,29,32,43,48,44,45,50,57,47,46,47,55,55
29,28,31,40,49,46,42,50,59,46,43,51,51,55
30,28,31,41,48,42,41,52,57,47,52,49,53,52
30,30,32,43,45,44,44,48,57,44,43,48,53,56
30,30,30,43,49,45,42,50,61,44,46,48,51,55
32,29,31,43,48,40,44,49,61,45,46,45,55,54
31,30,31,41,51,46,43,49,54,46,43,50,52,56
30,31,30,41,47,46,42,49,56,46,47,47,51,57
30,29,32,42,49,48,43,46,61,47,41,45,50,52
30,31,32,40,49,45,42,48,62,44,50,47,54,56
29,29,31,43,47,44,42,51,58,45,47,48,50,55
30,30,31,42,46,44,41,48,54,47,42,44,49,57
30,30,31,41,45,45,40,43,59,46,49,43,55,54
31,28,30,43,46,46,41,47,57,44,46,44,52,53
29,32,31,38,49,46,40,46,56,45,48,45,54,53
31,30,29,43,48,41,43,47,59,46,49,46,53,57
30,29,31,43,46,43,41,50,57,49,46,48,52,55
30,29,30,41,47,45,39,48,60,46,45,49,52,58
31,29,30,41,48,47,41,48,58,46,46,48,52,56
31,28,31,40,44,47,43,48,58,45,45,50,52,58
31,31,30,40,47,49,41,50,61,46,45,47,50,54
30,29,30,41,49,44,44,48,58,45,47,49,52,54
31,29,29,41,46,47,47,46,57,49,47,46,51,56
29,29,30,40,51,43,43,51,57,44,46,46,52,55
30,30,31,42,48,43,43,51,56,47,42,48,51,55
30,30,33,40,47,44,39,48,58,46,51,44,51,56
29,30,30,40,51,43,44,46,60,47,46,46,49,56
30,28,31,42,49,47,40,49,57,45,46,50,51,57
29,31,30,43,46,44,41,51,56,46,45,48,51,58
30,29,30,39,49,44,42,49,57,46,47,46,56,55
32,31,29,41,47,44,42,48,57,47,49,46,49,54
32,31,30,43,50,48,43,46,56,48,51,45,49,55
31,28,31,41,47,46,40,44,60,45,47,49,51,52
30,31,33,39,48,45,41,48,58,47,50,49,50,57
30,30,30,42,46,44,44,45,57,47,43,47,56,55
29,28,29,40,48,44,41,48,56,46,47,48,53,56
30,31,30,44,49,48,40,49,55,47,46,46,50,55
30,29,31,41,48,43,44,49,59,45,45,52,52,59
29,30,31,43,50,45,40,51,59,47,45,47,51,55
31,28,29,41,45,46,42,48,60,46,46,47,50,51
32,31,30,40,49,44,41,48,60,47,43,48,48,55
30,31,30,40,49,45,42,48,56,47,42,46,52,55
30,29,32,41,50,45,43,52,55,45,44,46,55,56
31,31,31,41,46,46,45,44,59,45,44,47,50,59
31,30,30,42,47,47,42,46,56,46,43,46,51,56
29,29,30,40,46,46,42,50,56,47,45,44,51,53
30,30,30,39,47,47,39,50,58,47,48,47,51,55
30,29,30,42,47,47,45,49,57,45,51,47,53,55
30,28,30,44,45,48,41,50,60,45,49,48,52,56
29,31,29,39,50,46,43,49,56,46,49,48,49,55
30,29,29,43,46,46,42,48,59,48,43,45,51,56
31,30,30,40,47,44,40,48,57,45,48,45,50,53
31,30,30,42,49,44,41,51,58,46,45,48,52,56
30,29,31,40,45,44,42,49,60,45,50,45,49,54
31,28,30,41,44,44,43,47,57,47,48,50,49,54
31,29,30,44,47,42,43,47,58,47,43,51,47,55
30,30,31,42,50,47,45,46,57,47,55,47,51,55
31,29,31,40,50,44,44,47,55,44,43,46,50,54
30,32,29,40,49,44,41,52,58,46,49,46,52,54
31,30,30,43,47,44,42,45,56,46,46,48,49,54
31,30,30,42,52,44,40,46,59,45,49,49,53,57
29,30,29,44,49,44,43,47,60,45,48,46,52,54
31,29,30,39,50,49,42,48,57,45,47,46,50,57
29,29,32,42,47,45,43,52,58,43,41,47,54,53
31,28,29,39,47,45,44,47,59,46,46,48,55,55
31,28,29,41,47,44,45,49,58,46,44,47,52,51
