['буго', 376]
['махiмуд', 304]
['махiмудил', 273]
['ва', 250]
['гьеб', 240]
['цо', 183]
['гьесул', 181]
['букiана', 168]
['гьев', 151]
['амма', 146]
['гьес', 140]
['руго', 139]
['рокьул', 139]
['чи', 135]
['махiмудица', 134]
['дир', 125]
['кечi', 121]
['гiадин', 110]
['вуго', 109]
['мун', 109]
['дун', 106]
['рокьи', 105]
['вукiана', 104]
['гьел', 101]
['дур', 100]
['жиндирго', 99]
['дида', 96]
['гьечiо', 94]
['мехалъ', 91]
['тiад', 80]
['бугеб', 80]
['кучiдул', 79]
['цадахъ', 76]
['дица', 75]
['муи', 74]
['абун', 72]
['ян', 71]
['данде', 70]
['рукiана', 69]
['гьаб', 68]
['жо', 68]
['цiар', 68]
['цiакъ', 68]
['гьабулеб', 67]
['хадуб', 66]
['тiаде', 66]
['гьелъул', 65]
['гьабизе', 65]
['гьабун', 63]
['абуна', 63]
['ккола', 62]
['гьабуна', 61]
['кiудияб', 58]
['гьесда', 58]
['ана', 57]
['щиб', 57]
['шагiир', 56]
['гьей', 55]
['муил', 53]
['хiакъалъулъ', 52]
['букiинчiо', 52]
['абураб', 52]
['я', 52]
['рекiел', 51]
['ун', 51]
['гьезул', 50]
['цебе', 50]
['махiмудида', 49]
['доб', 49]
['махiмудги', 49]
['магiарул', 47]
['кiиго', 47]
['кочiол', 47]
['гьечiеб', 47]
['нахъе', 46]
['ракi', 46]
['ккун', 45]
['росулъ', 45]
['хъахiабросулъа', 44]
['гьанже', 43]
['лъун', 43]
['дие', 43]
['босун', 42]
['кин', 42]
['рагiи', 41]
['ккараб', 41]
['гьелда', 41]
['киналго', 41]
['дуца', 41]
['гьунар', 40]
['гiемерал', 39]
['росу', 39]
['ракiалде', 38]
['тун', 38]
['букiараб', 38]
['гьал', 38]
['гiумру', 37]
['гiемер', 37]
['жиндир', 37]
['щай', 37]
['поэт', 36]
['гьелъие', 36]
['кьун', 36]
['мухiамад', 36]
['ант', 36]
['живго', 35]
['росдал', 35]
['ругел', 35]
['бакiалда', 35]
['абуни', 35]
['йиго', 35]
['цохiо', 35]
['гьудул', 35]
['рагiаби', 35]
['бегьула', 34]
['гурони', 34]
['хутiана', 34]
['хiал', 34]
['гьедин', 33]
['хъвана', 33]
['къимат', 33]
['хабар', 33]
['гiищкъул', 33]
['кiудияв', 32]
['шагiирасул', 32]
['бугин', 32]
['букiун', 32]
['кинабго', 32]
['гьелъ', 32]
['дуда', 32]
['асарал', 31]
['гьесие', 31]
['чiун', 31]
['бицана', 31]
['ккана', 31]
['гьоркьоб', 31]
['къо', 31]
['щун', 30]
['гiадамал', 30]
['бакi', 30]
['йикiана', 30]
['бекьилъа', 30]
['махiмудие', 30]
['кидаго', 30]
['гьабураб', 29]
['нух', 29]
['жеги', 29]
['нухалъ', 29]
['вукiарав', 29]
['гуро', 29]
['цинги', 29]
['дуе', 29]
['кигiан', 29]
['араб', 29]
['гьаризе', 28]
['хъвалеб', 28]
['дунял', 28]
['чанго', 28]
['сон', 28]
['яс', 28]
['дунги', 28]
['магьдил', 28]
['дагъистаналъул', 27]
['хъван', 27]
['лъалеб', 27]
['гiадаб', 27]
['лъала', 27]
['вас', 27]
['эбел', 27]
['ракьалда', 27]
['хвел', 27]
['халкъалда', 26]
['лъугьун', 26]
['заманалда', 26]
['лъугьана', 26]
['гуреб', 26]
['вугев', 26]
['гьале', 26]
['рес', 26]
['къоялъ', 26]
['абизе', 25]
['жив', 25]
['гьениб', 25]
['абулеб', 25]
['нилъер', 25]
['хъварал', 25]
['жакъа', 25]
['жаваб', 25]
['босараб', 25]
['соналъ', 25]
['гiумруялъул', 24]
['цiияб', 24]
['букiине', 24]
['бекьдерил', 24]
['жидерго', 24]
['рукiун', 24]
['гьез', 24]
['гiадал', 24]
['ине', 24]
['щибаб', 24]
['хъвараб', 24]
['тiаса', 24]
['яги', 24]
['хун', 23]
['нилъеда', 23]
['бугилан', 23]
['рукiарал', 23]
['бан', 23]
['чiана', 23]
['вукiинчiо', 23]
['цоги', 23]
['керен', 23]
['гьезда', 22]
['гьабула', 22]
['муиги', 22]
['гьечiого', 22]
['рекъон', 22]
['вукiун', 22]
['гьаракь', 22]
['бахъун', 22]
['цеве', 22]
['гьарун', 22]
['цо-цо', 22]
['цiураб', 22]
['чiужу', 22]
['жаниб', 21]
['чiван', 21]
['хъахiабросулъе', 21]
['кучiдузул', 21]
['заман', 21]
['пикру', 21]
['гiайиб', 21]
['лъикi', 21]
['гьадин', 20]
['мухiамадица', 20]
['кумек', 20]
['гiемераб', 20]
['гiадан', 20]
['лъикiаб', 20]
['жинда', 20]
['с', 19]
['йокьулей', 19]
['ниж', 19]
['батила', 19]
['гьикъана', 19]
['панаяб', 19]
['тiун', 19]
['гiумруялъ', 19]
['гiодов', 19]
['квер', 19]
['гьечiел', 19]
['кiочон', 19]
['бокьун', 19]
['хiухьел', 19]
['тiадегiанаб', 18]
['бицунеб', 18]
['берцинаб', 18]
['батiияб', 18]
['чагiи', 18]
['щвараб', 18]
['къотiун', 18]
['ахiулеб', 18]
['меседил', 18]
['шагiирас', 18]
['эбелалъ', 18]
['ахiун', 18]
['мугiрул', 18]
['хадув', 18]
['бицун', 18]
['бищунго', 17]
['вачiун', 17]
['талихi', 17]
['лъалаан', 17]
['гьарурал', 17]
['вугин', 17]
['гьелдаса', 17]
['абула', 17]
['росулъе', 17]
['кьуна', 17]
['хiисабалда', 17]
['щвезе', 17]
['балагьун', 17]
['унсоколо', 17]
['заманаялъ', 17]
['нажмудиница', 17]
['гьитiинаб', 17]
['унеб', 17]
['анищ', 17]
['гiамал', 17]
['берал', 17]
['балай', 17]
['ахiизе', 17]
['цiа', 17]
['уна', 16]
['цогидал', 16]
['гьединаб', 16]
['лъазе', 16]
['цiакъго', 16]
['букiин', 16]
['кьолеб', 16]
['магiарулазул', 16]
['хутiун', 16]
['щвана', 16]
['дагъистан', 16]
['нижер', 16]
['жанир', 16]
['сурат', 16]
['иш', 16]
['рокъове', 16]
['рабигiат', 16]
['гьудулзаби', 16]
['кечiги', 16]
['тiамур', 16]
['кучiдулги', 15]
['гiищкъу', 15]
['тiегь', 15]
['бекьилъ', 15]
['гъорлъ', 15]
['вачiарав', 15]
['рачiун', 15]
['ругин', 15]
['магiарулазда', 15]
['хъахiабросулъ', 15]
['кколеб', 15]
['вугилан', 15]
['мацi', 15]
['лъураб', 15]
['поэтасул', 15]
['бицине', 15]
['дов', 15]
