["hic'ile", 5420]
["k'ʷar", 5331]
['ible', 2670]
['e', 2369]
['ce', 1893]
['ca', 1614]
['a', 1591]
['laˤ', 1587]
['cara', 1547]
['i', 1424]
['taˤ', 1424]
['na', 1355]
['du', 1307]
['dila', 1304]
['de', 1279]
['da', 1273]
['it', 1243]
['bude', 1210]
['laˤtːe', 1139]
['cinna', 1015]
['ze', 972]
["cik'al", 958]
['nu', 924]
['nixːala', 915]
['helize', 839]
['helitːe', 835]
['itːe', 755]
['burχe', 717]
['xade', 678]
['χaˤ', 669]
['dude', 662]
['ej', 649]
['χaˤma', 628]
['dicːe', 626]
['bu', 619]
['durχe', 613]
['agurre', 601]
['jaˤ', 591]
['čula', 587]
['rude', 586]
['dami', 582]
['hejtːe', 581]
['ude', 567]
['taˤtːe', 560]
['aχːara', 556]
['butun', 550]
['gale', 540]
['hana', 527]
['nusːa', 517]
['aˤtːi', 515]
["barq'ible", 502]
['waˤde', 489]
["č'ʷal", 485]
['itila', 482]
['taˤma', 481]
['nisːala', 476]
['aˤla', 459]
['zi', 451]
['ja', 444]
['ibda', 441]
['ča', 439]
['u', 438]
['ite', 431]
["urč'ili", 421]
['šːa', 420]
['rusːe', 412]
["k'aˤma", 411]
['musːa', 406]
['uže', 405]
['jaˤma', 404]
['datːe', 397]
['agurda', 389]
['akːu', 384]
['ʡa̰bal', 381]
['bursa', 379]
['burχuble', 379]
['kala', 377]
['kːuri', 376]
["ba̰jk'aj", 375]
["k'aˤ", 367]
['hitːe', 358]
["c'iq'ʷaj", 354]
['značit', 346]
['dusː', 345]
['dam', 339]
['urχuble', 330]
['babajla', 329]
['durč', 325]
['šːicːe', 323]
['bare', 319]
['macːa', 319]
['χːʷalaze', 312]
['babaj', 310]
['barq', 302]
['ištːe', 283]
['iti', 281]
['baˤčːu', 280]
['adme', 276]
['χaˤtːe', 273]
["nik'aze", 273]
['uˤ', 268]
['itːu', 266]
["darq'ible", 265]
['huja', 265]
['buχuble', 256]
['ha', 256]
['aˤcːe', 249]
['gužle', 244]
['agur', 241]
['qarri', 241]
['baˤkːu', 240]
['itːala', 240]
['hira', 235]
['halitːe', 235]
['cizil', 232]
['bursle', 231]
['buχub', 229]
['insane', 228]
