['ищал', 330]
['бук1а', 217]
['эгу', 201]
['инщал', 181]
['цеб', 129]
['гьеда', 117]
['вудугу', 98]
['бук1у', 97]
['вук1а', 88]
['гьоб', 77]
['вудиб', 76]
['вугу', 70]
['вудив', 68]
['да', 59]
['г1адан', 58]
['дини', 56]
['вулугу', 52]
['гьоку', 50]
['г1адамади', 47]
['рук1у', 46]
['вуб', 40]
['ищалигил', 39]
['гьижи', 38]
['ищи', 37]
['гигьи', 35]
['кекьи', 35]
['аъ', 35]
['сару', 34]
['заманалъид', 32]
['вугиб', 32]
['динди', 32]
['гьаку', 32]
['гьощдуб', 31]
['гьаб', 31]
['чуб', 31]
['вудибе', 31]
['гьинди', 30]
['къот1и', 30]
['цев', 30]
['данди', 28]
['гьач1и', 28]
['гьадиб', 28]
['кельа', 27]
['эгуб', 27]
['вубда', 25]
['вудищуд', 25]
['гьини', 24]
['бук1аб', 24]
['цебла', 24]
['инщалигил', 24]
['ил1иб', 22]
['э', 22]
['гъарди', 22]
['вудугува', 21]
['ссе', 20]
['бук1ач1и', 20]
['гьобе', 20]
['вук1ав', 20]
['гьов', 20]
['кельар', 20]
['кьибах', 20]
['бук1удуб', 19]
['к1ек1и', 19]
['бихьи', 19]
['бац1а', 19]
['я', 19]
['гьаа', 19]
['апагири', 18]
['кел1и', 18]
['гьани', 18]
['вугив', 18]
['эъ', 18]
['вудид', 18]
['къелар', 17]
['заманалъила', 17]
['вубе', 17]
['вулиб', 16]
['к1ек1иги', 16]
['ну', 16]
['мак1а', 16]
['бук1ала', 16]
['как', 16]
['шамилид', 16]
['цебе', 16]
['вуд', 16]
['минди', 16]
['гьоре', 15]
['гигьибах', 15]
['гьордуд', 15]
['бук1абахе', 15]
['гьощда', 15]
['кьибахин', 15]
['вулид', 15]
['гьанл1ир', 15]
['вохья', 15]
['чубла', 15]
['гьа', 15]
['г1анча', 15]
['мак1ала', 14]
['вущуд', 14]
['бук1абе', 14]
['кекьибах', 14]
['гьокуба', 14]
['бел1и', 14]
['г1орус', 14]
['кьи', 14]
['гигьеду', 14]
['йик1ва', 14]
['ц1ц1ой', 14]
['вуре', 13]
['ил1ив', 13]
['гьав', 13]
['бук1абах', 13]
['гьанл1и', 13]
['вохьа', 13]
['вудире', 13]
['дандиби', 13]
['мала', 13]
['гида', 13]
['бук1удак1а', 13]
['гигьидуб', 12]
['уъ', 12]
['къаг1идалъила', 12]
['гьинк1ва', 12]
['рехьинлъид', 12]
['гьегу', 12]
['вудий', 12]
['коди', 12]
['вук1ох', 12]
['гьадугу', 12]
['диба', 12]
['гьарди', 12]
['лъаби', 12]
['шамиль', 12]
['гьакуба', 12]
['рук1уду', 11]
['вук1удув', 11]
['гигьида', 11]
['эгубал', 11]
['вудибда', 11]
['кьанихъаре', 11]
['торг1у', 11]
['ваг1а', 11]
['и', 11]
['диб', 11]
['ил1ибе', 11]
['вудидуб', 11]
['жий', 11]
['гьолъил', 10]
['мн', 10]
['х1акълъил1и', 10]
['вущуб', 10]
['ила', 10]
['мини', 10]
['гигье', 10]
['гьащда', 10]
['эгубе', 10]
['бел1уб', 10]
['кекьир', 10]
['гьинк1яб', 10]
['армилъилар', 10]
['кагъат', 10]
['г1азарлабел1и', 10]
['гьощдуре', 10]
['гьалугу', 10]
['цеблала', 10]
['къаг1ида', 10]
['г1адамадилуд', 10]
['гьалува', 10]
['вудугуба', 9]
['ощил', 9]
['бигьи', 9]
['минар', 9]
['гидуб', 9]
['вугид', 9]
['гьобу', 9]
['гьобла', 9]
['бихьиде', 9]
['билъибах', 9]
['сарух', 9]
['вук1охегу', 9]
['зобилъид', 9]
['ищиб', 9]
['инщубги', 9]
['эгуни', 9]
['гьолъид', 9]
['баг1и', 9]
['гьалиб', 9]
['гьощуд', 9]
['хинил', 9]
['гьащдуб', 9]
['вугуба', 9]
['цещуд', 9]
['суна', 9]
['вугува', 9]
['кекьидак1а', 9]
['вудищуб', 9]
['жели', 9]
['гьобда', 9]
['гидак1а', 9]
